"engine.time","ikr.IKr","membrane.V"
 0.00000000000000000e+00, 2.74497234245230700e-04,-8.00000000000000000e+01
 1.00000000000000000e+01, 2.74496592814594338e-04,-8.00000000000000000e+01
 2.00000000000000000e+01, 2.74495952305972178e-04,-8.00000000000000000e+01
 3.00000000000000000e+01, 2.74495311797350017e-04,-8.00000000000000000e+01
 4.00000000000000000e+01, 2.74494671288727911e-04,-8.00000000000000000e+01
 5.00000000000000000e+01, 2.74494030780105750e-04,-8.00000000000000000e+01
 6.00000000000000000e+01, 2.74493390271483536e-04,-8.00000000000000000e+01
 7.00000000000000000e+01, 2.74492749762861483e-04,-8.00000000000000000e+01
 8.00000000000000000e+01, 2.74492109254239323e-04,-8.00000000000000000e+01
 9.00000000000000000e+01, 2.74491832709768786e-04,-8.00000000000000000e+01
 1.00000000000000000e+02, 2.74491654549039073e-04,-8.00000000000000000e+01
 1.10000000000000000e+02, 2.74491476388309360e-04,-8.00000000000000000e+01
 1.20000000000000000e+02, 2.74491298227579701e-04,-8.00000000000000000e+01
 1.30000000000000000e+02, 2.74491120066849988e-04,-8.00000000000000000e+01
 1.40000000000000000e+02, 2.74490941906120275e-04,-8.00000000000000000e+01
 1.50000000000000000e+02, 2.74490763745390562e-04,-8.00000000000000000e+01
 1.60000000000000000e+02, 2.74490585584660904e-04,-8.00000000000000000e+01
 1.70000000000000000e+02, 2.74490407423931191e-04,-8.00000000000000000e+01
 1.80000000000000000e+02, 2.74490229263201532e-04,-8.00000000000000000e+01
 1.90000000000000000e+02, 2.74490051102471765e-04,-8.00000000000000000e+01
 2.00000000000000000e+02, 2.74489872941742052e-04,-8.00000000000000000e+01
 2.10000000000000000e+02, 2.74489698789851986e-04,-8.00000000000000000e+01
 2.20000000000000000e+02, 2.74489568197174309e-04,-8.00000000000000000e+01
 2.30000000000000000e+02, 2.74489437604496633e-04,-8.00000000000000000e+01
 2.40000000000000000e+02, 2.74489335578490337e-04,-8.00000000000000000e+01
 2.50000000000000000e+02,-1.12793128369256378e-03,-1.20000000000000000e+02
 2.60000000000000000e+02,-6.48995946393775714e-04,-1.20000000000000000e+02
 2.70000000000000000e+02,-2.96085697310552421e-04,-1.20000000000000000e+02
 2.80000000000000000e+02,-1.35016002530595914e-04,-1.20000000000000000e+02
 2.90000000000000000e+02,-6.16670569908515226e-05,-1.20000000000000000e+02
 3.00000000000000000e+02,-2.81892611306214061e-05,-1.20000000000000000e+02
 3.10000000000000000e+02,-1.27444828330812512e-05,-1.19000000000000000e+02
 3.20000000000000000e+02,-5.83915348878176798e-06,-1.18000000000000000e+02
 3.30000000000000000e+02,-2.96733191364328128e-06,-1.17000000000000000e+02
 3.40000000000000000e+02,-1.87917230506087727e-06,-1.16000000000000000e+02
 3.50000000000000000e+02,-1.42672775983063824e-06,-1.15000000000000000e+02
 3.60000000000000000e+02,-1.22274463693970120e-06,-1.14000000000000000e+02
 3.70000000000000000e+02,-1.18108006026035452e-06,-1.13000000000000000e+02
 3.80000000000000000e+02,-1.24720835288823635e-06,-1.12000000000000000e+02
