"engine.time","ikr.IKr","membrane.V"
 0.00000000000000000e+00, 2.31275073318388397e-02,-8.00000000000000000e+01
 1.00000000000000000e+01, 1.89046684214182852e-02,-8.00000000000000000e+01
 2.00000000000000000e+01, 1.54623623794977339e-02,-8.00000000000000000e+01
 3.00000000000000000e+01, 1.26561088444342145e-02,-8.00000000000000000e+01
 4.00000000000000000e+01, 1.03682996311523067e-02,-8.00000000000000000e+01
 5.00000000000000000e+01, 1.38835080718714587e-01, 4.00000000000000000e+01
 6.00000000000000000e+01, 2.88330959485826877e-01, 4.00000000000000000e+01
 7.00000000000000000e+01, 3.64489940305681492e-01, 4.00000000000000000e+01
 8.00000000000000000e+01, 4.08174400386730141e-01, 4.00000000000000000e+01
 9.00000000000000000e+01, 4.35678971487730160e-01, 4.00000000000000000e+01
 1.00000000000000000e+02, 4.53062812206590004e-01, 4.00000000000000000e+01
 1.10000000000000000e+02, 4.64051456543105423e-01, 4.00000000000000000e+01
 1.20000000000000000e+02, 4.70997773294634658e-01, 4.00000000000000000e+01
 1.30000000000000000e+02, 4.75388768924735750e-01, 4.00000000000000000e+01
 1.40000000000000000e+02, 4.78164456438423480e-01, 4.00000000000000000e+01
 1.50000000000000000e+02, 4.79919056252224641e-01, 4.00000000000000000e+01
 1.60000000000000000e+02, 4.81028166866812934e-01, 4.00000000000000000e+01
 1.70000000000000000e+02, 4.81729257553051460e-01, 4.00000000000000000e+01
 1.80000000000000000e+02, 4.82172465948402740e-01, 4.00000000000000000e+01
 1.90000000000000000e+02, 4.82452634214056320e-01, 4.00000000000000000e+01
 2.00000000000000000e+02, 4.82629743572750403e-01, 4.00000000000000000e+01
 2.10000000000000000e+02, 4.82741701868827755e-01, 4.00000000000000000e+01
 2.20000000000000000e+02, 4.82812468733680278e-01, 4.00000000000000000e+01
 2.30000000000000000e+02, 4.82857177426709971e-01, 4.00000000000000000e+01
 2.40000000000000000e+02, 4.82885454873406561e-01, 4.00000000000000000e+01
 2.50000000000000000e+02, 4.82903344325670725e-01, 4.00000000000000000e+01
 2.60000000000000000e+02, 4.82914651396382011e-01, 4.00000000000000000e+01
 2.70000000000000000e+02, 4.82921801257304883e-01, 4.00000000000000000e+01
 2.80000000000000000e+02, 4.82926322868282520e-01, 4.00000000000000000e+01
 2.90000000000000000e+02, 4.82929173723175120e-01, 4.00000000000000000e+01
 3.00000000000000000e+02, 4.82930967761007301e-01, 4.00000000000000000e+01
 3.10000000000000000e+02, 4.82932104244133409e-01, 4.00000000000000000e+01
 3.20000000000000000e+02, 4.82932831887038116e-01, 4.00000000000000000e+01
 3.30000000000000000e+02, 4.82933297547367191e-01, 4.00000000000000000e+01
 3.40000000000000000e+02, 4.82933587786855467e-01, 4.00000000000000000e+01
 3.50000000000000000e+02, 4.82933747749345166e-01, 4.00000000000000000e+01
 3.60000000000000000e+02, 4.82933848780405073e-01, 4.00000000000000000e+01
 3.70000000000000000e+02, 4.82933900610840905e-01, 4.00000000000000000e+01
 3.80000000000000000e+02, 4.82933955023422790e-01, 4.00000000000000000e+01
 3.90000000000000000e+02, 4.82934001660053291e-01, 4.00000000000000000e+01
 4.00000000000000000e+02, 4.82934045628551800e-01, 4.00000000000000000e+01
 4.10000000000000000e+02, 4.82934072492502919e-01, 4.00000000000000000e+01
 4.20000000000000000e+02, 4.82934086659169426e-01, 4.00000000000000000e+01
 4.30000000000000000e+02, 4.82934087671945955e-01, 4.00000000000000000e+01
 4.40000000000000000e+02, 4.82934086921037009e-01, 4.00000000000000000e+01
 4.50000000000000000e+02, 4.82934085521874001e-01, 4.00000000000000000e+01
 4.60000000000000000e+02, 4.82934089700940594e-01, 4.00000000000000000e+01
 4.70000000000000000e+02, 4.82934094852718321e-01, 4.00000000000000000e+01
 4.80000000000000000e+02, 4.82934100375798814e-01, 4.00000000000000000e+01
 4.90000000000000000e+02, 4.82934101979273944e-01, 4.00000000000000000e+01
 5.00000000000000000e+02, 4.82934101304844710e-01, 4.00000000000000000e+01
 5.10000000000000000e+02, 4.82934099095428060e-01, 4.00000000000000000e+01
 5.20000000000000000e+02, 4.82934097604678647e-01, 4.00000000000000000e+01
 5.30000000000000000e+02, 4.82934094764032595e-01, 4.00000000000000000e+01
 5.40000000000000000e+02, 4.82934093376287343e-01, 4.00000000000000000e+01
 5.50000000000000000e+02, 4.82934369579085920e-01, 4.00000000000000000e+01
 5.60000000000000000e+02, 5.69698069833644682e-01, 2.75000000000000000e+01
 5.70000000000000000e+02, 6.79919598604307951e-01, 1.50000000000000000e+01
 5.80000000000000000e+02, 7.87876625018342436e-01, 2.50000000000000000e+00
 5.90000000000000000e+02, 8.78652783344485488e-01,-1.00000000000000000e+01
 6.00000000000000000e+02, 9.31766987695619053e-01,-2.25000000000000000e+01
 6.10000000000000000e+02, 9.23370455607532392e-01,-3.50000000000000000e+01
 6.20000000000000000e+02, 8.30550506008076117e-01,-4.75000000000000000e+01
 6.30000000000000000e+02, 6.35486028908151201e-01,-6.00000000000000000e+01
 6.40000000000000000e+02, 3.56049726754447349e-01,-7.25000000000000000e+01
 6.50000000000000000e+02, 1.62705295023480440e-01,-8.00000000000000000e+01
 6.60000000000000000e+02, 1.32694663885175368e-01,-8.00000000000000000e+01
 6.70000000000000000e+02, 1.08226524637662025e-01,-8.00000000000000000e+01
 6.80000000000000000e+02, 8.82795415476152617e-02,-8.00000000000000000e+01
 6.90000000000000000e+02, 7.20182410426459946e-02,-8.00000000000000000e+01
 7.00000000000000000e+02, 5.87616098042856097e-02,-8.00000000000000000e+01
 7.10000000000000000e+02, 4.79544955108053284e-02,-8.00000000000000000e+01
 7.20000000000000000e+02, 3.91443833080339920e-02,-8.00000000000000000e+01
 7.30000000000000000e+02, 3.19621457041074294e-02,-8.00000000000000000e+01
 7.40000000000000000e+02, 2.61070700980206294e-02,-8.00000000000000000e+01
