"engine.time","0.ikr.IKr","1.ikr.IKr","2.ikr.IKr","3.ikr.IKr","4.ikr.IKr","5.ikr.IKr","6.ikr.IKr","7.ikr.IKr","8.ikr.IKr","9.ikr.IKr"
 1.10000000000000000e+03,-8.70702378176145368e-03, 2.93415215561536455e-03,-1.55642816411984027e-02, 5.18614113929125476e-03,-3.07739589662088531e-03,-7.88266064194236525e-03, 2.58840858693718890e-03, 3.00609694704678312e-02,-3.93200967418378820e-04,-9.04794580066049770e-04
 1.11000000000000000e+03, 1.93799292417267954e-02, 2.46318708437591148e-02,-5.02444077867781475e-03,-2.73164245362324636e-02, 1.79764860690166152e-02, 2.09946331469317397e-02, 1.34567192775475325e-02,-5.44908744120788015e-03, 2.17592860118015104e-02,-4.30361520331911870e-03
 1.12000000000000000e+03, 7.06835638793646987e-03, 1.31204006731715801e-02, 8.70359374530850494e-03,-1.38077395765138777e-02,-3.51004011868486735e-03, 1.81453682848172759e-02, 3.85271715646181710e-04, 1.99331630225077910e-02, 1.60943067893326991e-02,-2.58047354141788601e-02
 1.13000000000000000e+03,-9.16502371108946466e-03, 8.61187238667962367e-03, 1.43117483594862229e-02, 9.42708319084285470e-03,-1.31583970156531459e-03, 2.10256868913610145e-02,-9.29236959587013099e-03,-3.08164636677142334e-02,-1.45395109134994292e-02, 2.07844522468519704e-03
 1.14000000000000000e+03, 6.58106381826225142e-04, 1.29740924633966470e-02, 1.60029960469782275e-03, 1.33876594947909926e-02, 6.72323203823933443e-03, 5.18627914195819327e-04,-2.47932598852297903e-02,-3.92722224915517878e-02, 5.06996959211390447e-03,-1.95181155559466459e-03
 1.15000000000000000e+03, 2.65300723673985266e-02, 5.33701969201618841e-03,-3.15918782995065553e-02, 1.92740434796260761e-02, 1.25827371668807454e-02, 2.71463446388588332e-03, 9.77248533129950955e-03,-1.27164679970669429e-03, 2.52838482807172318e-02,-7.82594628174674428e-03
 1.16000000000000000e+03, 2.62428242441410074e-02, 7.09773629861888428e-03, 3.09879225479461591e-03, 9.85121603509704624e-03, 9.24551458848001800e-03, 2.44224564702516626e-02, 1.61158610876702864e-02,-1.48411772984958241e-02,-1.97572495498752297e-02, 5.91013045742157413e-03
 1.17000000000000000e+03,-1.08200184652214697e-02,-2.18072253288045630e-03, 1.50900950899651243e-03,-6.56275280699791970e-04,-4.15109199829707346e-03, 1.74504219927150601e-02, 2.83831915579375296e-04,-2.66377279118432857e-03, 1.39877139671733160e-02, 1.75074114081851355e-02
 1.18000000000000000e+03, 1.54406716275737495e-02, 1.76112469318211347e-02, 1.26523776519202810e-02, 1.28737360083602034e-02,-6.33900227799105102e-03,-9.47539883545734339e-03, 5.64746019614650440e-03, 6.22682491343437648e-03,-9.02889228333099945e-03, 2.57264237867497244e-03
 1.19000000000000000e+03,-2.96180010097912014e-03, 5.81619624707555710e-03, 7.48921898209265174e-03, 5.63911806903775935e-05,-1.05462325452901819e-02, 1.04040429573453129e-02, 2.30938940050439863e-02,-9.85286932562994509e-03,-4.76969842349938070e-03,-3.71066700325744202e-03
 1.20000000000000000e+03, 1.01170797399494448e-02, 2.37953725462649694e-02,-3.42953414010066212e-03, 1.72588373646478336e-03, 3.43513312317446882e-03, 2.00847077354916505e-02, 2.64553016358329215e-02, 1.03890264436892112e-02,-8.13859337386070407e-03, 1.17831162957070506e-02
 1.21000000000000000e+03,-6.65876811467430024e-03, 1.33028371514269470e-02,-1.50535178593379556e-02, 9.52850135479879276e-03, 6.32548642609065837e-03, 1.21287429498820928e-02, 8.02799592610867196e-03,-1.04524461082590239e-02, 2.08962125069383914e-02,-5.71133475123713086e-04
 1.22000000000000000e+03,-3.35137558735011708e-03, 5.32490335315192759e-03,-6.03014141991462405e-03, 1.30297266025030251e-02, 2.07720066973655013e-02,-1.82215297236243195e-03,-4.11869856848229212e-03, 1.69750899768869902e-02, 2.44896240047342527e-02,-2.77351582678780689e-03
 1.23000000000000000e+03,-1.42037569048742516e-02,-2.85167031284421779e-02, 5.96810970239193919e-04, 6.74443711030369483e-03,-3.23079216580709041e-03,-1.29405813061688225e-02, 3.01293229395311257e-03,-2.33577930953811144e-02, 8.49493620145149071e-03,-1.26868308615907862e-02
