"engine.time","0.ikr.IKr","1.ikr.IKr","2.ikr.IKr","3.ikr.IKr","4.ikr.IKr","5.ikr.IKr","6.ikr.IKr","7.ikr.IKr","8.ikr.IKr","9.ikr.IKr"
 1.10000000000000000e+03, 6.78049140165960962e-01, 6.58329008460926790e-01, 6.75143021946136623e-01, 6.78141887212326933e-01, 6.80590399954471348e-01, 6.66490834271541654e-01, 6.86934044740841299e-01, 6.87366857419376531e-01, 6.69630694280165195e-01, 6.83888499727141386e-01
 1.11000000000000000e+03, 6.87269812035336880e-01, 6.75698448136570096e-01, 7.27548516027790915e-01, 7.08045958141663268e-01, 6.97487583674805345e-01, 7.09884358735828114e-01, 6.99797801366279004e-01, 7.00104167887375839e-01, 7.23751635960367845e-01, 7.24243087212766312e-01
 1.12000000000000000e+03, 7.40941522883537318e-01, 7.11741014172625364e-01, 7.40068679698013931e-01, 7.63079472348252907e-01, 7.35974776975009348e-01, 7.50781252119684162e-01, 6.90618342908838279e-01, 7.24416589346395412e-01, 7.37326715947753675e-01, 7.17748946954275158e-01
 1.13000000000000000e+03, 7.30512594883025113e-01, 7.48452976322844687e-01, 7.50747169386261959e-01, 7.33407306100081979e-01, 7.74755795472513720e-01, 7.56930542308399179e-01, 7.35799825527806761e-01, 7.65897594902000933e-01, 7.60902122461587171e-01, 7.60723122449602274e-01
 1.14000000000000000e+03, 7.76987215400478437e-01, 7.48408916488717546e-01, 7.68100799321094319e-01, 7.61994950443173669e-01, 7.64043423394436205e-01, 7.74854008942667649e-01, 7.61243634089969201e-01, 7.51163473649442026e-01, 7.58382112499243477e-01, 7.75023241177110078e-01
 1.15000000000000000e+03, 7.99370884679534210e-01, 7.58974151042637990e-01, 7.75807677304592103e-01, 7.63537775884916448e-01, 7.79055875344318860e-01, 7.64854937437799642e-01, 7.81547152589473160e-01, 7.79641153291948386e-01, 7.81881996679950952e-01, 7.73894816551895737e-01
 1.16000000000000000e+03, 8.03091918624438073e-01, 8.02499139179891463e-01, 7.86169213231158182e-01, 7.67171144818571071e-01, 7.83635551054251756e-01, 7.87620132394318828e-01, 7.80905814269609810e-01, 7.94199815578252477e-01, 7.72408572318698194e-01, 7.92617262585842863e-01
 1.17000000000000000e+03, 7.95581596699999172e-01, 7.91806867715084128e-01, 8.00583164982236473e-01, 7.86159342776134751e-01, 7.82254837083746990e-01, 7.81682052306957309e-01, 8.11806379123350186e-01, 7.86186374840041946e-01, 7.94260594144675980e-01, 8.17904902328039918e-01
 1.18000000000000000e+03, 8.28577859440051245e-01, 7.95264443237568286e-01, 7.92327890235138610e-01, 8.01250406870766541e-01, 8.05242898639356053e-01, 7.85312452422427532e-01, 7.97573447095382249e-01, 7.98619064516566945e-01, 8.10824453108190846e-01, 8.35144071272062472e-01
 1.19000000000000000e+03, 8.29066537975278739e-01, 8.03052782762833539e-01, 8.20679092244298247e-01, 7.94125585392732924e-01, 7.87697308143905373e-01, 8.09568660167766962e-01, 8.14216434933569655e-01, 7.98524920887092926e-01, 8.43079766841431377e-01, 7.93956858512201769e-01
 1.20000000000000000e+03, 8.01301645823083053e-01, 8.13443251675711965e-01, 8.50578145307400169e-01, 8.29495225516913126e-01, 8.02347753510890827e-01, 8.11970969667442311e-01, 8.28956592430488359e-01, 8.15266764342714612e-01, 8.07192728276132310e-01, 8.06138038760561004e-01
 1.21000000000000000e+03, 8.22167924557310914e-01, 7.99657043931302214e-01, 8.12638068540108893e-01, 8.28744921283049552e-01, 8.12448662983671022e-01, 8.10322216934497797e-01, 8.11871698929856334e-01, 8.20754209970310122e-01, 8.28922821437419910e-01, 7.96599017558389133e-01
 1.22000000000000000e+03, 8.18809161470681723e-01, 8.48755667623737886e-01, 8.10636536201884472e-01, 8.18585866822483577e-01, 8.18686348198998437e-01, 8.32984086158259696e-01, 8.17975083671353298e-01, 7.92376476523160234e-01, 8.32731634295373890e-01, 8.33573052724101315e-01
 1.23000000000000000e+03, 7.96521729689914415e-01, 8.44612669801761529e-01, 8.14279869575140203e-01, 8.26981592298564716e-01, 8.03262467402430014e-01, 8.35232282366038081e-01, 8.05378055076035104e-01, 8.38290799716345791e-01, 8.29062881685077580e-01, 7.83883316530168739e-01
