"engine.time","0.ikr.IKr","1.ikr.IKr","2.ikr.IKr","3.ikr.IKr","4.ikr.IKr","5.ikr.IKr","6.ikr.IKr","7.ikr.IKr","8.ikr.IKr","9.ikr.IKr"
 1.10000000000000000e+03, 6.73950505357265861e-01, 6.71386493711467636e-01, 6.76910840957760995e-01, 6.77359501197772551e-01, 6.92180381322712091e-01, 6.79491049295079197e-01, 6.57619847374200761e-01, 6.77299230817361431e-01, 6.77503425638543377e-01, 6.74639009710441995e-01
 1.11000000000000000e+03, 7.12057841677526393e-01, 6.99269608226737449e-01, 7.01599727125809869e-01, 7.06638954850019041e-01, 7.30107128530069316e-01, 7.08149824724521149e-01, 6.98166082946529265e-01, 7.14219372338200875e-01, 7.07412915378636931e-01, 6.99992381791094465e-01
 1.12000000000000000e+03, 7.49577827350051074e-01, 7.07482223644048114e-01, 7.18568677013680435e-01, 7.20820585589065366e-01, 7.16589549286017258e-01, 7.34984369069877519e-01, 7.13150067020497436e-01, 7.21033015815224276e-01, 7.26009605719886930e-01, 7.19676025595620050e-01
 1.13000000000000000e+03, 7.59403684899939480e-01, 7.52914491695522159e-01, 7.26143095115249992e-01, 7.46885697866344733e-01, 7.56461685585013477e-01, 7.36278583748283255e-01, 7.59789685516726432e-01, 7.45663035336074476e-01, 7.53190245702935357e-01, 7.46459883401135449e-01
 1.14000000000000000e+03, 7.83177170728813210e-01, 7.52601667822401343e-01, 7.72429127740149934e-01, 7.76742497173344648e-01, 7.66100244377488915e-01, 7.97414788516328743e-01, 7.69228973441829500e-01, 7.50606171643169229e-01, 7.52118893568076818e-01, 7.62654132463327916e-01
 1.15000000000000000e+03, 7.83255648576845154e-01, 7.68889682697195820e-01, 7.85073623406315702e-01, 7.86833617875386748e-01, 7.78034277934576801e-01, 7.87093307440606460e-01, 7.59517559328163339e-01, 7.83016495403196622e-01, 7.93755821693993613e-01, 7.78712749433065565e-01
 1.16000000000000000e+03, 7.87535830920087276e-01, 7.87967492679323755e-01, 8.02359312416149550e-01, 7.92600612923967329e-01, 7.74640657103184416e-01, 7.88475418599637101e-01, 8.09747937584898381e-01, 7.92979132335858705e-01, 7.92045840273147395e-01, 8.09804085960395104e-01
 1.17000000000000000e+03, 8.04735746185529122e-01, 7.74832730415808135e-01, 8.13260561427118223e-01, 8.03522482813684435e-01, 8.10841443018462615e-01, 7.94860056508413626e-01, 8.02958879596276209e-01, 7.92788467527073548e-01, 7.84945869937665797e-01, 7.94880831236713936e-01
 1.18000000000000000e+03, 8.22541785885643639e-01, 8.13054789733907324e-01, 8.15497191458077864e-01, 8.01023305742728287e-01, 8.12930572026779319e-01, 7.99313350187130900e-01, 7.89488462756136933e-01, 8.12948989846835723e-01, 8.06899929388004145e-01, 8.12848055438674555e-01
 1.19000000000000000e+03, 8.05344680086648279e-01, 8.00185012514457839e-01, 8.17555614282564957e-01, 7.89233990227264592e-01, 8.11776808841571662e-01, 8.00543637805607777e-01, 7.95183742790659065e-01, 7.96872843619107374e-01, 7.98286686826498504e-01, 8.02971130892818352e-01
 1.20000000000000000e+03, 8.25072319740558502e-01, 8.16092031642392968e-01, 7.92934951439663638e-01, 8.05718881706529277e-01, 8.07701586895139712e-01, 8.21152474589424641e-01, 8.02164566580285787e-01, 7.87446919528756006e-01, 7.83896301614091628e-01, 8.12215266024626681e-01
 1.21000000000000000e+03, 8.06242552821841318e-01, 7.93612071861855894e-01, 8.19431886859325775e-01, 8.15869812732366473e-01, 8.08404990122739808e-01, 8.07994667286237922e-01, 8.12626528764029410e-01, 8.22442078911302832e-01, 8.21679627034161864e-01, 8.05421489800949297e-01
 1.22000000000000000e+03, 8.12667784672517990e-01, 8.30595397882328834e-01, 8.17239359051775915e-01, 8.09565770103499172e-01, 8.25580472284152544e-01, 8.44706139365449915e-01, 8.35765182892538760e-01, 8.06474125317425461e-01, 8.19717253216972308e-01, 8.10624644747860890e-01
 1.23000000000000000e+03, 8.23046061150309982e-01, 8.23480509686185025e-01, 8.34922225897014481e-01, 7.98398445619616037e-01, 8.00986202521358215e-01, 8.00190316047666772e-01, 8.06747589660228415e-01, 8.06848012849630591e-01, 8.26175440323024923e-01, 8.03386972635441565e-01
 1.24000000000000000e+03, 8.15946553875839253e-01, 8.36419434885072199e-01, 8.51932075913085285e-01, 8.19808419961199131e-01, 8.35241477620199624e-01, 8.13045247742407606e-01, 8.33121595766521894e-01, 8.00878621723421391e-01, 8.07155498545323646e-01, 8.08412527774528322e-01
 1.25000000000000000e+03, 8.24453555945595773e-01, 8.19040684360255011e-01, 8.29805543314014682e-01, 8.20334708650061417e-01, 8.08336328137284843e-01, 8.16772860422832481e-01, 8.03053771963589735e-01, 8.28218079653971873e-01, 8.15056616368432962e-01, 8.29712241420985763e-01
 1.26000000000000000e+03, 8.52569074856465270e-01, 8.12568404075526440e-01, 8.35997638171777413e-01, 8.32131233917215885e-01, 8.10233685568117923e-01, 8.08428370017618247e-01, 8.28267335162703677e-01, 8.19495737249460676e-01, 8.27393759043036470e-01, 8.41273679434386690e-01
 1.27000000000000000e+03, 8.16632872274400179e-01, 8.02327711505944507e-01, 8.11317223276800004e-01, 8.14010883688011999e-01, 8.26567770339702856e-01, 8.13610072477636947e-01, 8.23907732350069755e-01, 8.26532494395681328e-01, 7.93513957332199649e-01, 8.41345100818188918e-01
 1.28000000000000000e+03, 8.35829910077022231e-01, 8.41383381785107076e-01, 8.17642247836643410e-01, 7.97112674165656565e-01, 8.09418842183048270e-01, 8.07205889514347907e-01, 8.22687860548313776e-01, 8.26235790122467284e-01, 8.15612501143726853e-01, 8.35185440102132137e-01
 1.29000000000000000e+03, 8.01901371161537702e-01, 8.04846239897543780e-01, 8.29176619066442688e-01, 8.26365694417463770e-01, 8.35863800666937773e-01, 8.21928491287784668e-01, 8.25289546859386491e-01, 8.57494374137652504e-01, 8.34010196129987946e-01, 8.22377862429095163e-01
 1.30000000000000000e+03, 8.21707671367400527e-01, 8.29913489626554313e-01, 8.27420568490319197e-01, 8.23569294143959740e-01, 8.01176917253730858e-01, 8.26788335536990382e-01, 8.13422160339168920e-01, 8.13504887475405503e-01, 8.18076044924240353e-01, 8.14449899741251593e-01
 1.31000000000000000e+03, 8.32120246299170696e-01, 8.32006361533276895e-01, 8.34826833343636276e-01, 8.68970930275020481e-01, 8.40606556111914816e-01, 8.29097024608402955e-01, 8.16744106140781523e-01, 8.29795441639711751e-01, 8.31030105175125766e-01, 8.16579725717160532e-01
 1.32000000000000000e+03, 7.79847949798230689e-01, 8.05052203636742125e-01, 8.52479810108114799e-01, 8.31029777432017558e-01, 8.24682290725465950e-01, 8.12422493512755861e-01, 8.21917546428646228e-01, 8.14934504495703482e-01, 8.29090197724576705e-01, 8.37559743186238603e-01
