"engine.time","0.ikr.IKr","1.ikr.IKr","2.ikr.IKr","3.ikr.IKr","4.ikr.IKr","5.ikr.IKr","6.ikr.IKr","7.ikr.IKr","8.ikr.IKr","9.ikr.IKr"
 1.10000000000000000e+03, 3.04560974364799786e-01, 1.36151952297777101e-01, 1.52732127628885023e-01, 1.18851677339057604e-01, 1.09204131683392200e-01, 1.21107183180260078e-01, 1.26044421155382363e-01, 1.21427556231565009e-01, 1.02432509795177762e-01, 1.17158514400256319e-01
 1.11000000000000000e+03, 2.82087605362929705e-01, 1.48239923889568831e-01, 1.27506378142261789e-01, 1.11938046866429150e-01, 1.11127343430841172e-01, 1.16766201706878098e-01, 1.00706351362854982e-01, 1.31576676515900631e-01, 1.37340886299274212e-01, 1.11500298010170334e-01
 1.12000000000000000e+03, 2.81153697479929798e-01, 1.39175781987986441e-01, 1.25040998508305717e-01, 1.02679784981438829e-01, 1.11548720012799821e-01, 1.12839577850835898e-01, 1.06934985379588149e-01, 1.07184937914463832e-01, 8.01286532796275097e-02, 1.01068326666552688e-01
 1.13000000000000000e+03, 2.37708569911756123e-01, 1.07044142670489520e-01, 9.16167796900566739e-02, 9.92376435542367680e-02, 9.95329791021437871e-02, 8.01059073448990161e-02, 1.10455957577939468e-01, 8.82788524352859372e-02, 9.40237745589376089e-02, 1.09466090974002145e-01
 1.14000000000000000e+03, 2.35249492530452908e-01, 1.12810774838326314e-01, 1.03106005849446458e-01, 1.03584497115321084e-01, 8.67952305344904668e-02, 8.55614413310712973e-02, 8.78518554070944480e-02, 8.07831361242578594e-02, 7.86887107289114818e-02, 6.48401808802038376e-02
 1.15000000000000000e+03, 2.01587201309280373e-01, 9.83962402055612861e-02, 8.40512618527125277e-02, 7.51111365188315144e-02, 9.43017078047535123e-02, 6.86651277607907978e-02, 8.59355876793080065e-02, 9.75159826589269141e-02, 8.54083234533567631e-02, 7.24872711583783719e-02
 1.16000000000000000e+03, 2.12822494719100114e-01, 1.08448499830394299e-01, 7.53076558691143511e-02, 6.92896726416335901e-02, 5.11309896348686177e-02, 8.04154688357608116e-02, 6.41010057223021235e-02, 7.35342949836348542e-02, 4.74748287330944846e-02, 8.76255323929332475e-02
 1.17000000000000000e+03, 1.49087796540399775e-01, 7.73416932800330137e-02, 7.13069439757158252e-02, 5.87496884208257297e-02, 7.09014222134502353e-02, 7.31407923813491567e-02, 7.41576984617029616e-02, 6.84300268786150884e-02, 7.70701335662259956e-02, 5.92629457352122496e-02
 1.18000000000000000e+03, 1.38515254939174048e-01, 9.58647331534072666e-02, 7.17309692309214680e-02, 4.77757613504392331e-02, 9.76148542613898829e-02, 4.11450032834688728e-02, 5.48400699053180826e-02, 5.44421138972602733e-02, 8.28527351916502341e-02, 6.31352675685500769e-02
 1.19000000000000000e+03, 1.21343738794009212e-01, 7.26850838328849669e-02, 6.61129641591748224e-02, 4.07304326327692090e-02, 4.63217855334158643e-02, 5.56675126626234029e-02, 5.05366365757542457e-02, 5.74835671300434337e-02, 7.25646572470644013e-02, 3.64196831928277620e-02
