"engine.time","ikr.IKr","membrane.V"
 1.10000000000000000e+03, 6.89095972489496167e-01, 0.00000000000000000e+00
 1.11000000000000000e+03, 7.09614522574224305e-01, 0.00000000000000000e+00
 1.12000000000000000e+03, 7.37368774367836877e-01, 0.00000000000000000e+00
 1.13000000000000000e+03, 7.65018855789688534e-01, 0.00000000000000000e+00
 1.14000000000000000e+03, 7.78093326157072607e-01, 0.00000000000000000e+00
 1.15000000000000000e+03, 7.71779229669569355e-01, 0.00000000000000000e+00
 1.16000000000000000e+03, 7.94471583550167226e-01, 0.00000000000000000e+00
 1.17000000000000000e+03, 7.95166731529158732e-01, 0.00000000000000000e+00
 1.18000000000000000e+03, 8.01836717158272316e-01, 0.00000000000000000e+00
 1.19000000000000000e+03, 8.10288148385304940e-01, 0.00000000000000000e+00
 1.20000000000000000e+03, 8.12556043951627061e-01, 0.00000000000000000e+00
 1.21000000000000000e+03, 8.24406076766568630e-01, 0.00000000000000000e+00
 1.22000000000000000e+03, 8.22375855720834936e-01, 0.00000000000000000e+00
 1.23000000000000000e+03, 8.20177707501367093e-01, 0.00000000000000000e+00
 1.24000000000000000e+03, 8.23909297590346257e-01, 0.00000000000000000e+00
 1.25000000000000000e+03, 8.24456085253185145e-01, 0.00000000000000000e+00
 1.26000000000000000e+03, 8.33125695965800994e-01, 0.00000000000000000e+00
 1.27000000000000000e+03, 8.22712713952570396e-01, 0.00000000000000000e+00
 1.28000000000000000e+03, 8.26769111645167531e-01, 0.00000000000000000e+00
 1.29000000000000000e+03, 8.19570293446059361e-01, 0.00000000000000000e+00
 1.30000000000000000e+03, 8.08757599827672147e-01, 0.00000000000000000e+00
 1.31000000000000000e+03, 8.30238366924905602e-01, 0.00000000000000000e+00
 1.32000000000000000e+03, 8.31881196615787077e-01, 0.00000000000000000e+00
 1.33000000000000000e+03, 8.21476930210148226e-01, 0.00000000000000000e+00
 1.34000000000000000e+03, 8.41513550677425948e-01, 0.00000000000000000e+00
 1.35000000000000000e+03, 8.17059543152192869e-01, 0.00000000000000000e+00
 1.36000000000000000e+03, 8.27059614453203862e-01, 0.00000000000000000e+00
 1.37000000000000000e+03, 8.25600889619302780e-01, 0.00000000000000000e+00
 1.38000000000000000e+03, 8.37015029574329716e-01, 0.00000000000000000e+00
 1.39000000000000000e+03, 8.36645897043993392e-01, 0.00000000000000000e+00
 1.40000000000000000e+03, 8.28009964974052770e-01, 0.00000000000000000e+00
 1.41000000000000000e+03, 8.29514239999091463e-01, 0.00000000000000000e+00
 1.42000000000000000e+03, 8.21183599068993852e-01, 0.00000000000000000e+00
 1.43000000000000000e+03, 8.13989242690219106e-01, 0.00000000000000000e+00
 1.44000000000000000e+03, 8.24781737285915195e-01, 0.00000000000000000e+00
 1.45000000000000000e+03, 8.28122106695740934e-01, 0.00000000000000000e+00
 1.46000000000000000e+03, 8.35219802308133863e-01, 0.00000000000000000e+00
 1.47000000000000000e+03, 8.35043267267182587e-01, 0.00000000000000000e+00
 1.48000000000000000e+03, 8.24557281716146617e-01, 0.00000000000000000e+00
 1.49000000000000000e+03, 8.25123270770383499e-01, 0.00000000000000000e+00
 1.50000000000000000e+03, 8.20201860518515180e-01, 0.00000000000000000e+00
 1.51000000000000000e+03, 8.17753243326186596e-01, 0.00000000000000000e+00
 1.52000000000000000e+03, 8.15866402975680471e-01, 0.00000000000000000e+00
 1.53000000000000000e+03, 8.40004825153585100e-01, 0.00000000000000000e+00
 1.54000000000000000e+03, 8.23767514551811519e-01, 0.00000000000000000e+00
 1.55000000000000000e+03, 8.24241104510487710e-01, 0.00000000000000000e+00
 1.56000000000000000e+03, 8.18864879540416646e-01, 0.00000000000000000e+00
 1.57000000000000000e+03, 8.32265472099468884e-01, 0.00000000000000000e+00
