,fit_Kmax,fit_Ku,fit_Vhalf,error,ref_Kmax,ref_Ku,ref_Vhalf
0,0.9997512516110085,1.800620215618316e-05,-124.86575058505623,2.9210268459408045e-07,1.0,1.8000000000000017e-05,-200.0
0,0.9998598408117712,1.800351340137077e-05,-128.49004085216083,1.7341452848546643e-07,1.0,1.8000000000000017e-05,-150.25
0,1.0000112318663545,1.7999721554274173e-05,-100.5095014847443,5.18825700598815e-08,1.0,1.8000000000000017e-05,-100.5
0,1.000004680233951,1.7999874366033795e-05,-50.75389417281015,4.267297548860782e-08,1.0,1.8000000000000017e-05,-50.75
0,1.0000121950649614,1.799966688271765e-05,-1.0003314081985728,6.392019994645497e-08,1.0,1.8000000000000017e-05,-1.0
0,0.9999989316408594,0.00027634708221014465,-160.42279576317796,5.5934572606446355e-08,1.0,0.0002763467610958146,-200.0
0,0.9999997607716182,0.00027634705362694433,-150.04962631272298,4.823362301340566e-08,1.0,0.0002763467610958146,-150.25
0,0.99999982146793,0.00027634659765237243,-100.5000264971606,7.05031283526039e-08,1.0,0.0002763467610958146,-100.5
0,0.999999611158411,0.0002763469061445615,-50.74959342259989,6.262214830011359e-08,1.0,0.0002763467610958146,-50.75
0,0.9999993175034592,0.0002763473633540633,-0.9999861324681667,6.806680721806209e-08,1.0,0.0002763467610958146,-1.0
0,0.9999990980192769,0.004242625013969463,-155.42460341818315,6.123377967222062e-08,1.0,0.0042426406871192875,-200.0
0,0.999999832686912,0.004242637011597694,-149.2960375240321,5.444136082395536e-08,1.0,0.0042426406871192875,-150.25
0,0.9999998311659327,0.004242633601350448,-100.49969655861082,3.747908611196895e-08,1.0,0.0042426406871192875,-100.5
0,1.0000001019085987,0.004242636602237278,-50.750128244508566,3.605866990594428e-08,1.0,0.0042426406871192875,-50.75
0,1.0000003314449617,0.004242635214137282,-1.0000100754735248,3.43901824996447e-08,1.0,0.0042426406871192875,-1.0
0,0.9999988887529023,0.06512907342602764,-156.08552573048445,7.396421992182483e-08,1.0,0.06513555624326307,-200.0
0,0.9999990438726029,0.06513745838206682,-147.50707543870334,6.403192090446935e-08,1.0,0.06513555624326307,-150.25
0,1.0000007168388074,0.06513429902645541,-100.50063101603745,7.372204088683269e-08,1.0,0.06513555624326307,-100.5
0,1.000000020225736,0.0651373225308114,-50.74994312050558,3.3910191642103565e-08,1.0,0.06513555624326307,-50.75
0,1.0000000536029252,0.0651340846615353,-1.0000173931449434,4.682853481954718e-08,1.0,0.06513555624326307,-1.0
0,0.9999972981901334,1.0015975562422368,-146.8540652458747,1.0071932846080275e-07,1.0,1.0,-200.0
0,0.9999992449565401,1.000851139506382,-146.73512645465883,7.916489229183678e-08,1.0,1.0,-150.25
0,0.9999996115049772,0.9999471573119135,-100.49895152236923,5.960708529189204e-08,1.0,1.0,-100.5
0,0.9999999301584388,1.0004151421140808,-50.749632686594225,4.52648883795531e-08,1.0,1.0,-50.75
0,1.0000001390877395,0.9980228824701002,-0.9999961566146452,4.1449743488194915e-08,1.0,1.0,-1.0
0,99.99923756402595,1.800014776402479e-05,-147.30963179785806,1.0674773445174895e-07,100.0,1.8000000000000017e-05,-200.0
0,99.9989088073447,1.800018975920716e-05,-142.62258239896227,1.1227232049237073e-07,100.0,1.8000000000000017e-05,-150.25
0,99.99960379683466,1.8000073724781082e-05,-100.49758126306077,8.9262384699587e-08,100.0,1.8000000000000017e-05,-100.5
0,100.00000666530661,1.800003378238211e-05,-50.75072053486268,8.914968361673818e-08,100.0,1.8000000000000017e-05,-50.75
0,100.00006324545392,1.800001371751858e-05,-0.999957220136262,9.033579938059752e-08,100.0,1.8000000000000017e-05,-1.0
0,100.00001348853533,0.00027634665097922085,-193.19757554148126,6.467269317510703e-08,100.0,0.0002763467610958146,-200.0
0,99.99998989832062,0.0002763462756343385,-149.1687843428575,6.932981121345358e-08,100.0,0.0002763467610958146,-150.25
0,99.99991505897633,0.0002763469450478617,-100.49956537327084,7.283131791574587e-08,100.0,0.0002763467610958146,-100.5
0,100.00013185558353,0.00027634622920201,-50.750883682951105,7.299106068888271e-08,100.0,0.0002763467610958146,-50.75
0,100.00012206351833,0.00027634582120645467,-1.0000258294229087,7.729741736458871e-08,100.0,0.0002763467610958146,-1.0
0,99.99996519194762,0.004242670517015022,-163.64651013406487,3.2522655946557504e-08,100.0,0.0042426406871192875,-200.0
0,100.00002565341926,0.004242647088332373,-150.852419838168,3.0270409757031263e-08,100.0,0.0042426406871192875,-150.25
0,99.99996050191717,0.004242631452420961,-100.49951860244241,2.3317630234078126e-08,100.0,0.0042426406871192875,-100.5
0,99.9999861316413,0.0042426477339209834,-50.749874547340276,2.2687130690868833e-08,100.0,0.0042426406871192875,-50.75
0,100.00001428473881,0.004242648994559779,-1.0000144409958007,1.9658209871256442e-08,100.0,0.0042426406871192875,-1.0
0,99.99994030561537,0.06513544903438463,-156.8088586299966,6.541853207165661e-08,100.0,0.06513555624326307,-200.0
