"time","ikr.IKr"
 1.10000000000000000e+03, 6.77453249204849950e-01
 1.11000000000000000e+03, 7.06973508164711495e-01
 1.12000000000000000e+03, 7.30909127632294209e-01
 1.13000000000000000e+03, 7.50228985274590143e-01
 1.14000000000000000e+03, 7.65767468512776883e-01
 1.15000000000000000e+03, 7.78229289180356387e-01
 1.16000000000000000e+03, 7.88201025824926571e-01
 1.17000000000000000e+03, 7.96165715197835522e-01
 1.18000000000000000e+03, 8.02517987871925076e-01
 1.19000000000000000e+03, 8.07578224729721628e-01
 1.20000000000000000e+03, 8.11605382973517253e-01
 1.21000000000000000e+03, 8.14807898324764301e-01
 1.22000000000000000e+03, 8.17353033529494954e-01
 1.23000000000000000e+03, 8.19374679248473181e-01
 1.24000000000000000e+03, 8.20979827165312259e-01
 1.25000000000000000e+03, 8.22253861652049056e-01
 1.26000000000000000e+03, 8.23264801070377916e-01
 1.27000000000000000e+03, 8.24066785507105770e-01
 1.28000000000000000e+03, 8.24702891852853393e-01
 1.29000000000000000e+03, 8.25207352375939229e-01
 1.30000000000000000e+03, 8.25607359675562646e-01
 1.31000000000000000e+03, 8.25924511271072581e-01
 1.32000000000000000e+03, 8.26175944777397864e-01
 1.33000000000000000e+03, 8.26375246409497999e-01
 1.34000000000000000e+03, 8.26533197253480956e-01
 1.35000000000000000e+03, 8.26658383694160337e-01
 1.36000000000000000e+03, 8.26757635335363950e-01
 1.37000000000000000e+03, 8.26836330135369835e-01
 1.38000000000000000e+03, 8.26898713866897839e-01
 1.39000000000000000e+03, 8.26948156266382406e-01
 1.40000000000000000e+03, 8.26987339067396299e-01
 1.41000000000000000e+03, 8.27018394475925067e-01
 1.42000000000000000e+03, 8.27043012112962050e-01
 1.43000000000000000e+03, 8.27062526492562178e-01
 1.44000000000000000e+03, 8.27077984574128844e-01
 1.45000000000000000e+03, 8.27090230591894682e-01
 1.46000000000000000e+03, 8.27099910911778813e-01
 1.47000000000000000e+03, 8.27107587357188367e-01
 1.48000000000000000e+03, 8.27113665832026834e-01
 1.49000000000000000e+03, 8.27118496044384366e-01
 1.50000000000000000e+03, 8.27122337223194615e-01
 1.51000000000000000e+03, 8.27125388856541965e-01
 1.52000000000000000e+03, 8.27127813383476296e-01
 1.53000000000000000e+03, 8.27129734697814367e-01
 1.54000000000000000e+03, 8.27131246089715666e-01
 1.55000000000000000e+03, 8.27132422038596382e-01
 1.56000000000000000e+03, 8.27133356089116090e-01
 1.57000000000000000e+03, 8.27134062866763831e-01
 1.58000000000000000e+03, 8.27134591820971488e-01
 1.59000000000000000e+03, 8.27135045728018770e-01
 1.60000000000000000e+03, 8.27135374586752015e-01
 1.61000000000000000e+03, 8.27135633031308437e-01
 1.62000000000000000e+03, 8.27135888568626965e-01
 1.63000000000000000e+03, 8.27136083250242349e-01
 1.64000000000000000e+03, 8.27136257232396033e-01
 1.65000000000000000e+03, 8.27136418170492216e-01
 1.66000000000000000e+03, 8.27136558331581173e-01
 1.67000000000000000e+03, 8.27136676418727568e-01
 1.68000000000000000e+03, 8.27136767272314666e-01
 1.69000000000000000e+03, 8.27136841260706301e-01
 1.70000000000000000e+03, 8.27136895386431314e-01
 1.71000000000000000e+03, 8.27136932809129255e-01
 1.72000000000000000e+03, 8.27136954112439926e-01
 1.73000000000000000e+03, 8.27136969946692280e-01
 1.74000000000000000e+03, 8.27136985172797545e-01
 1.75000000000000000e+03, 8.27136993603422521e-01
 1.76000000000000000e+03, 8.27137004517324859e-01
 1.77000000000000000e+03, 8.27137018656548872e-01
 1.78000000000000000e+03, 8.27137033020869605e-01
 1.79000000000000000e+03, 8.27137046045526736e-01
 1.80000000000000000e+03, 8.27137058267504943e-01
 1.81000000000000000e+03, 8.27137070009924646e-01
 1.82000000000000000e+03, 8.27137076977158214e-01
 1.83000000000000000e+03, 8.27137080748341358e-01
 1.84000000000000000e+03, 8.27137082332933371e-01
 1.85000000000000000e+03, 8.27137082421084413e-01
 1.86000000000000000e+03, 8.27137080161336025e-01
 1.87000000000000000e+03, 8.27137077408354404e-01
 1.88000000000000000e+03, 8.27137076847688335e-01
 1.89000000000000000e+03, 8.27137072352846281e-01
 1.90000000000000000e+03, 8.27137067100015666e-01
 1.91000000000000000e+03, 8.27137062458501937e-01
