"engine.time","0.ikr.IKr","1.ikr.IKr","2.ikr.IKr","3.ikr.IKr","4.ikr.IKr","5.ikr.IKr","6.ikr.IKr","7.ikr.IKr","8.ikr.IKr","9.ikr.IKr"
 1.10000000000000000e+03, 6.75699980117501209e-01, 6.74396288527831622e-01, 6.77148375432485183e-01, 6.77367403918879729e-01, 6.84775087595607790e-01, 6.78429003576297540e-01, 6.67492638084699275e-01, 6.77331942290634870e-01, 6.77433852236144052e-01, 6.76001532995296972e-01
 1.11000000000000000e+03, 7.09513420072662493e-01, 7.03096692782899324e-01, 7.04251225876637132e-01, 7.06765307445995528e-01, 7.18496518059636990e-01, 7.07516386425122268e-01, 7.02523717814034110e-01, 7.10549958134609194e-01, 7.07146535974873869e-01, 7.03436153083875193e-01
 1.12000000000000000e+03, 7.40240848743987323e-01, 7.19169701255746863e-01, 7.24702044095172249e-01, 7.25822276352286466e-01, 7.23703783617996810e-01, 7.32899663124538581e-01, 7.21981687187186472e-01, 7.25922743387957703e-01, 7.28410830042470647e-01, 7.25243919966018891e-01
 1.13000000000000000e+03, 7.54813283246966282e-01, 7.51544791656214461e-01, 7.38147922207543772e-01, 7.48513350851570225e-01, 7.53298290761201250e-01, 7.43205168369020730e-01, 7.54959872269408416e-01, 7.47896117736620347e-01, 7.51659469759220933e-01, 7.48294165451248827e-01
 1.14000000000000000e+03, 7.74468879447111846e-01, 7.59156757744205546e-01, 7.69059090130194245e-01, 7.71209783217977285e-01, 7.65885542453689450e-01, 7.81541211990498752e-01, 7.67447440891415367e-01, 7.58135602101003836e-01, 7.58891718400101611e-01, 7.64159212138060040e-01
 1.15000000000000000e+03, 7.80738657566461769e-01, 7.73530918245670884e-01, 7.81611304084486092e-01, 7.82485210816239229e-01, 7.78082375507418544e-01, 7.82610261381952776e-01, 7.68821509705659545e-01, 7.80570532671092221e-01, 7.85939973679865123e-01, 7.78418309831341748e-01
 1.16000000000000000e+03, 7.87864240533091786e-01, 7.88055006920246437e-01, 7.95239186328621561e-01, 7.90353667939017068e-01, 7.81370484497329931e-01, 7.88286215592601813e-01, 7.98921586421027174e-01, 7.90536733068267772e-01, 7.90069849954491366e-01, 7.98948843474371451e-01
 1.17000000000000000e+03, 8.00446139907984966e-01, 7.85469350446987069e-01, 8.04671418191585497e-01, 7.99796147999175644e-01, 8.03452390246289339e-01, 7.95460030615531388e-01, 7.99508544646276298e-01, 7.94422883339728769e-01, 7.90501343438640092e-01, 7.95468693466183430e-01
 1.18000000000000000e+03, 8.12524897303524840e-01, 8.07755942948685468e-01, 8.08965204513131919e-01, 8.01721984238025320e-01, 8.07672355417328292e-01, 8.00862065571614656e-01, 7.95948717732081978e-01, 8.07678522589926007e-01, 8.04653752408417744e-01, 8.07627683803190499e-01
 1.19000000000000000e+03, 8.06456098957332834e-01, 8.03850646781570810e-01, 8.12523934355432575e-01, 7.98356805063433095e-01, 8.09624932423670174e-01, 8.04006657727056373e-01, 8.01325800776463426e-01, 8.02169889754876242e-01, 8.02876602058497091e-01, 8.05218691648677654e-01
 1.20000000000000000e+03, 8.18333134654402272e-01, 8.13817241747728071e-01, 8.02226629779930867e-01, 8.08612247947082308e-01, 8.09600300649490401e-01, 8.16324045546577670e-01, 8.06829177055539137e-01, 7.99469889489118235e-01, 7.97694411847067242e-01, 8.11853760974852401e-01
 1.21000000000000000e+03, 8.10519139557696056e-01, 8.04178062904670643e-01, 8.17075846758475777e-01, 8.15288436116851756e-01, 8.11552712913713781e-01, 8.11345846515096558e-01, 8.13660859594296459e-01, 8.18568168930671414e-01, 8.18186787256690473e-01, 8.10057585107175293e-01
 1.22000000000000000e+03, 8.15003943648721862e-01, 8.23941852647625317e-01, 8.17251675373682485e-01, 8.13408485358427469e-01, 8.21412513812849632e-01, 8.30973636809143157e-01, 8.26502238105583764e-01, 8.11856242098814018e-01, 8.18477622268172555e-01, 8.13931184106022942e-01
 1.23000000000000000e+03, 8.21203520370585194e-01, 8.21394805160897912e-01, 8.27103476881892230e-01, 8.08835179518088476e-01, 8.10125728113494925e-01, 8.09726069369400392e-01, 8.13003783214560904e-01, 8.13053526276341199e-01, 8.22717014582840966e-01, 8.11322646583794826e-01
 1.24000000000000000e+03, 8.18455959620596918e-01, 8.28666438973286956e-01, 8.36410547507239532e-01, 8.20342299622714322e-01, 8.28055492264856752e-01, 8.16955659447937466e-01, 8.26992909355257044e-01, 8.10870953135474415e-01, 8.14009143523956258e-01, 8.14637523684740295e-01
 1.25000000000000000e+03, 8.23346081811234920e-01, 8.20613686130813424e-01, 8.25983888888790374e-01, 8.21242040999880851e-01, 8.15239509065499801e-01, 8.19456054453384319e-01, 8.12595584757317302e-01, 8.25177268654760709e-01, 8.18596284117714679e-01, 8.25923961989110444e-01
 1.26000000000000000e+03, 8.37908889096073417e-01, 8.17882630597713156e-01, 8.29585007328621948e-01, 8.27645369914385309e-01, 8.16693251040373824e-01, 8.15788870691834922e-01, 8.25707426651430043e-01, 8.21321157081920661e-01, 8.25269907589806229e-01, 8.32209732982896466e-01
