"engine.time","0.ikr.IKr","1.ikr.IKr","2.ikr.IKr","3.ikr.IKr","4.ikr.IKr","5.ikr.IKr","6.ikr.IKr","7.ikr.IKr","8.ikr.IKr","9.ikr.IKr"
 1.10000000000000000e+03, 6.68422773103594436e-01, 6.82718254662716295e-01, 6.48852891152125855e-01, 6.82648020794733634e-01, 6.64983517234081223e-01, 6.93744487960224254e-01, 6.84653909475892108e-01, 6.96168284181055030e-01, 6.66487711393181748e-01, 6.70246433134900954e-01
 1.11000000000000000e+03, 7.10072119340245278e-01, 7.12252084359602411e-01, 7.13159979608587902e-01, 7.01211434857672566e-01, 7.16486844910612652e-01, 7.09692270398892044e-01, 7.16447325157672621e-01, 7.15788740092438536e-01, 7.25704755888687658e-01, 6.95177374531289138e-01
 1.12000000000000000e+03, 7.38947743596657380e-01, 7.54270962122225774e-01, 7.43128731462135650e-01, 7.30492847076910090e-01, 7.21300180572023275e-01, 7.32848910871429005e-01, 7.13552398858279813e-01, 7.41120298584598602e-01, 7.16319875248206284e-01, 7.27018429252101361e-01
 1.13000000000000000e+03, 7.50859502160639014e-01, 7.62084579848636756e-01, 7.68347253203985558e-01, 7.63193048285528919e-01, 7.46176789186766998e-01, 7.40835076927477965e-01, 7.64788421565906873e-01, 7.53428122748115214e-01, 7.46994478204645929e-01, 7.54425247775562080e-01
 1.14000000000000000e+03, 7.61928184611152193e-01, 7.52522428892998030e-01, 7.46248486008683098e-01, 7.38538009112419069e-01, 7.60546742481261862e-01, 7.66033390290753791e-01, 7.68413801572875199e-01, 7.49323309715653640e-01, 7.73226466187682537e-01, 7.46539701327002092e-01
 1.15000000000000000e+03, 7.87946161098443620e-01, 7.95718256617057085e-01, 7.77387062424466979e-01, 7.64325962847218543e-01, 7.73964995991595628e-01, 7.96470737534301310e-01, 7.92606375668258312e-01, 7.79326417627354107e-01, 7.61323441825908387e-01, 7.78622907253025853e-01
 1.16000000000000000e+03, 7.85079248950118713e-01, 7.88339611122673922e-01, 7.80745504762432097e-01, 7.81260672524917599e-01, 7.74410660053416744e-01, 8.00990089010064521e-01, 7.69100942804672560e-01, 7.89727049412758175e-01, 7.80529099653486269e-01, 7.88441147596373182e-01
 1.17000000000000000e+03, 7.85067159682711235e-01, 7.69314978907000735e-01, 7.77801492802099093e-01, 7.88300389894570075e-01, 7.97883395724111266e-01, 7.89855175598419446e-01, 7.71561780799076447e-01, 8.15606590737503190e-01, 8.10016985858905358e-01, 7.82676904102937443e-01
 1.18000000000000000e+03, 8.31735622357045012e-01, 7.99826791543080340e-01, 8.12899673679837287e-01, 7.93280300927392212e-01, 8.20719371685117771e-01, 8.13890268580679366e-01, 7.99554139169404099e-01, 8.03929118942080079e-01, 8.11521546853023468e-01, 7.72777184783774995e-01
 1.19000000000000000e+03, 7.91503372878947231e-01, 8.17816022447791169e-01, 8.05939915388046768e-01, 8.01834956567668788e-01, 8.01254355920327788e-01, 7.81326138916653479e-01, 7.95569300322553796e-01, 8.00354740600794812e-01, 8.18042820934148263e-01, 8.22069010815148160e-01
 1.20000000000000000e+03, 8.20794725796396341e-01, 8.11283442396244947e-01, 8.02707533615108493e-01, 7.94858061658336501e-01, 8.26071496348825818e-01, 8.11705708933708414e-01, 8.40776594178849312e-01, 8.39236872648608800e-01, 7.79337692880334942e-01, 8.24167681944695918e-01
