"engine.time","0.ikr.IKr","1.ikr.IKr","2.ikr.IKr","3.ikr.IKr","4.ikr.IKr","5.ikr.IKr","6.ikr.IKr","7.ikr.IKr","8.ikr.IKr","9.ikr.IKr"
 1.10000000000000000e+03,-6.62032925812835717e-05,-2.23176738684889488e-03, 4.90441516108392362e-03, 6.80534421626109373e-03,-2.71314507480461837e-03,-1.60381395522328565e-02, 6.33698668638497768e-03, 1.39709472790235318e-03,-2.69364035687700534e-04,-5.52260658256154870e-03
 1.11000000000000000e+03,-8.18659498592657145e-03, 3.58930004819246360e-03,-4.20151611883450970e-03, 1.85544077573036328e-03, 4.60399361664819064e-03,-6.08909783134573609e-03,-3.83570396885587594e-03,-3.31517281537338287e-03,-1.46824912085780600e-02, 7.84590029910923158e-03
 1.12000000000000000e+03, 4.70111720431660909e-03,-2.57157117695393928e-03,-3.20213284639723908e-03, 4.62446908495992275e-03,-2.37560350238462869e-03, 1.29752105675046137e-03,-1.28514023740215130e-02, 6.96120056063461758e-04,-9.55682719790249165e-03, 8.01152692663260543e-03
 1.13000000000000000e+03, 7.52393398100896678e-03, 3.05247398961027057e-04, 7.11228513318694095e-03,-6.20221883369489872e-04,-1.32033971157091874e-02, 7.30356166130050662e-03,-1.21539707393893918e-02, 9.62265782252264175e-03,-8.17490232848378656e-03,-1.31844088116188831e-02
 1.14000000000000000e+03,-7.17077603313765778e-03,-3.31519759540753207e-03, 3.51778988528256243e-03, 1.48833064354863469e-03, 8.67527863284764627e-04, 3.92618611951733518e-03,-3.48768554873526981e-03,-6.11849287969776570e-03, 6.76713136376394346e-03, 1.53413323919083557e-02
 1.15000000000000000e+03,-2.74595972409700162e-03,-1.00048396456677985e-02,-5.63156717160016081e-03, 1.31041336522904703e-02, 4.99441322694307898e-04, 3.86236748432691604e-03,-1.92541892976277732e-03, 4.20571266829347992e-03,-3.88512312075439074e-03,-5.30954042790936914e-03
 1.16000000000000000e+03,-3.85348813320216975e-03,-3.49410261487897219e-03, 8.60053403817578020e-03,-4.94462362494187471e-03, 9.60604479835653821e-03, 2.94421388482504201e-03,-7.90565556650177879e-03, 7.59864697207039957e-03,-1.05695015630449824e-02,-4.50958919422208507e-04
 1.17000000000000000e+03, 1.06689020366137165e-03,-1.03340094665580889e-02, 7.56334181471641706e-03,-3.48592191789803482e-03, 1.38040790747011381e-06,-3.37620984971312302e-03, 1.29848302212567761e-02, 8.55093713350088200e-03, 4.22934873645443906e-03,-1.45481917337817075e-03
 1.18000000000000000e+03, 3.61909620982401410e-03,-6.19198640770847030e-04, 8.19957744397756087e-03, 4.38037517121377291e-03, 9.57389498155875214e-03, 1.46689084212343560e-02,-6.45245464707807324e-03,-1.07136143895993508e-03,-6.67523267596968790e-03, 5.23119276190711895e-03
 1.19000000000000000e+03, 1.12836091844927900e-03, 1.51993076410191354e-03, 2.64943373295532033e-04,-1.97479434532733941e-03,-1.48658349577877728e-03, 1.31596984497771349e-02,-7.48353406710249372e-03, 6.21856572194277955e-03,-1.23773170166322083e-02, 1.79511706100506725e-03
