"engine.time","0.ikr.IKr","1.ikr.IKr","2.ikr.IKr","3.ikr.IKr","4.ikr.IKr","5.ikr.IKr","6.ikr.IKr","7.ikr.IKr","8.ikr.IKr","9.ikr.IKr"
 1.10000000000000000e+03, 6.94113085066112023e-01, 6.80738039279516149e-01, 6.84597472948365038e-01, 6.91006495870153725e-01, 6.68284262129783424e-01, 6.91123840453288452e-01, 6.84013228680809271e-01, 6.95555613738379486e-01, 6.78202876693272172e-01, 6.92366756555977902e-01
 1.11000000000000000e+03, 7.16230833697995894e-01, 6.99854111357383513e-01, 7.00226357197048288e-01, 7.10059085828745995e-01, 7.09116494566095823e-01, 7.04127370895996862e-01, 7.13800942007018269e-01, 7.16847024840437164e-01, 6.96266628982521563e-01, 7.26222280563304845e-01
 1.12000000000000000e+03, 7.00554739762840883e-01, 7.48362354277282926e-01, 7.23327767043871694e-01, 7.43029136100350374e-01, 7.26748452591591709e-01, 7.48749444520070861e-01, 7.11899784527751156e-01, 7.35700561644439532e-01, 7.33514969357930591e-01, 7.29176204417398610e-01
 1.13000000000000000e+03, 7.45665304062237855e-01, 7.30682680023213460e-01, 7.22196943202263242e-01, 7.31753047529054679e-01, 7.46824548689966172e-01, 7.79046821951338453e-01, 7.30282294192325820e-01, 7.46840722247667066e-01, 7.45456432474485564e-01, 7.30241956045063922e-01
 1.14000000000000000e+03, 7.66768652714146848e-01, 7.67182589154813632e-01, 7.56144721427144728e-01, 7.75345514093297883e-01, 7.72890162840750850e-01, 7.76909766094923571e-01, 7.60807583059129544e-01, 7.64134507237932414e-01, 7.90208625781826934e-01, 7.58255771587897809e-01
 1.15000000000000000e+03, 7.71408813495652046e-01, 7.80847252784397150e-01, 7.81228208040224303e-01, 7.60812027463099616e-01, 7.82444654571696763e-01, 7.81158132722046150e-01, 7.76425065995716146e-01, 7.80664744676637934e-01, 7.80566226955944908e-01, 7.78065189542153535e-01
 1.16000000000000000e+03, 7.86149220897843337e-01, 7.88284871668797016e-01, 8.02625731856636992e-01, 7.57162913664529480e-01, 7.88598256258423058e-01, 8.05605256980115314e-01, 7.88820023135033077e-01, 7.65888515472865961e-01, 7.83787534841829281e-01, 7.79901648060917774e-01
 1.17000000000000000e+03, 8.04376421928370000e-01, 8.10107646744471110e-01, 7.90884249139574891e-01, 7.85185643369968211e-01, 7.99543031706983265e-01, 8.15068653145168409e-01, 7.86079645473137245e-01, 8.02430092276709472e-01, 7.93168787267565012e-01, 7.85822940508051015e-01
 1.18000000000000000e+03, 7.73467845606381155e-01, 7.92310105444028134e-01, 7.96109800038106719e-01, 7.83383191139443991e-01, 8.02050483764889521e-01, 8.11884853459530320e-01, 7.87893862218848828e-01, 7.92869259891873734e-01, 8.02565331963471684e-01, 7.90031288084695138e-01
 1.19000000000000000e+03, 8.15565601645642402e-01, 7.86481080903977836e-01, 7.85815753116271165e-01, 8.02395871464978261e-01, 8.00766367663107492e-01, 8.12584892271084214e-01, 8.18714431634815387e-01, 8.13495904895671473e-01, 8.05447006209181193e-01, 7.96772217898951807e-01
 1.20000000000000000e+03, 8.09424172574610634e-01, 8.19050084247397114e-01, 8.01901935924078657e-01, 8.15583990286645522e-01, 8.09228167567513368e-01, 8.03500810474145344e-01, 8.05597083941821057e-01, 8.06717255703944813e-01, 8.07732717188939686e-01, 8.06483157592069344e-01
 1.21000000000000000e+03, 8.06556697652031307e-01, 8.21731422172199855e-01, 8.22260319193928613e-01, 8.61968291465429970e-01, 8.06713786428820634e-01, 8.23139583319563939e-01, 8.34191913987635258e-01, 8.16028282763251345e-01, 8.17872922047450213e-01, 8.14090734222060797e-01
 1.22000000000000000e+03, 8.42981209401977516e-01, 8.17146741713957958e-01, 7.98959464205406755e-01, 8.16447112485716220e-01, 8.25536578895361139e-01, 8.32521349120657672e-01, 8.37554109752626785e-01, 8.15786854760184754e-01, 8.05872319808659143e-01, 8.15921670185355219e-01
 1.23000000000000000e+03, 7.90765974293567431e-01, 8.37218168085714143e-01, 8.22660471588327225e-01, 8.34427066819568797e-01, 8.32701375661772047e-01, 8.33160394499277701e-01, 8.22524262850694576e-01, 8.28011250164161328e-01, 8.18845005665576275e-01, 8.29641722440151441e-01
 1.24000000000000000e+03, 8.33831771152724666e-01, 8.22961007107537612e-01, 8.42580128762286384e-01, 8.24874674920664241e-01, 8.32002210903946438e-01, 8.40570976526809677e-01, 8.19613409487003342e-01, 8.22563997370547306e-01, 8.06982740402126808e-01, 8.26100595086890155e-01
 1.25000000000000000e+03, 8.13933903482391696e-01, 8.18681315637370566e-01, 8.31683043759074980e-01, 8.28924868008642735e-01, 8.28249715056901814e-01, 8.20919735051377830e-01, 8.14135654120906382e-01, 8.40291733116659278e-01, 8.33098338689219453e-01, 8.06773348476797936e-01
 1.26000000000000000e+03, 8.44749288464412107e-01, 8.27309761899349017e-01, 8.34462527333315496e-01, 8.21321181042356407e-01, 8.38461235764250357e-01, 8.27435499724622936e-01, 8.28225133766744448e-01, 8.24152947075410869e-01, 8.41207697596412785e-01, 8.22177431678314252e-01
 1.27000000000000000e+03, 8.27127126135581703e-01, 8.25012169346704183e-01, 8.11667748333014472e-01, 8.08434829972939806e-01, 8.29365575487393980e-01, 8.10557983930253800e-01, 8.26867376176672608e-01, 8.26506869676346900e-01, 8.28357496134989435e-01, 8.48604625366333520e-01
