"engine.time","0.ikr.IKr","1.ikr.IKr","2.ikr.IKr","3.ikr.IKr","4.ikr.IKr","5.ikr.IKr","6.ikr.IKr","7.ikr.IKr","8.ikr.IKr","9.ikr.IKr"
 1.10000000000000000e+03, 6.76785281015926721e-01, 6.83333645755342500e-01, 6.76620365022114978e-01, 6.58070043726296627e-01, 6.66994085083317922e-01, 6.77730283749541029e-01, 6.78252460246431377e-01, 6.79147758372585342e-01, 6.66872577693873425e-01, 6.80224934840519602e-01
 1.11000000000000000e+03, 7.09190230586264181e-01, 6.95030835803728486e-01, 7.22122073565741762e-01, 7.07876836225744932e-01, 7.11209244439682697e-01, 7.08816148364912801e-01, 7.01868373963507319e-01, 6.95131410522531357e-01, 7.08067974707738412e-01, 6.99925784478291013e-01
 1.12000000000000000e+03, 7.27666373747642647e-01, 7.30947353515064457e-01, 7.29364994226522234e-01, 7.25560627673558445e-01, 7.43771410438305858e-01, 7.34574718191409293e-01, 7.26803796560381965e-01, 7.21776692376625562e-01, 7.22992062547814895e-01, 7.34907238689635256e-01
 1.13000000000000000e+03, 7.59438088502631170e-01, 7.57359430335406092e-01, 7.39632409465697860e-01, 7.48892094028088762e-01, 7.51630453175990532e-01, 7.50006143821037252e-01, 7.60252516069549134e-01, 7.40778864045008589e-01, 7.54766813985724316e-01, 7.54791055562362700e-01
 1.14000000000000000e+03, 7.63490005659793414e-01, 7.58909925432674659e-01, 7.44220449497958514e-01, 7.55074072127101759e-01, 7.76573925591423797e-01, 7.55033617460446616e-01, 7.67104201848242906e-01, 7.65713456884691168e-01, 7.66219200123246624e-01, 7.59982562148773133e-01
 1.15000000000000000e+03, 7.81797953416992430e-01, 7.74240907317901184e-01, 7.83786917252683235e-01, 7.69753784473268809e-01, 7.65153580544515322e-01, 7.73418638856769647e-01, 7.71742175002364528e-01, 7.87682363647109529e-01, 7.61187763505123405e-01, 7.75974054661756507e-01
 1.16000000000000000e+03, 7.89450821925877788e-01, 7.81285019070076414e-01, 7.88796853419453048e-01, 7.90372763740499362e-01, 7.76280804876951169e-01, 7.84320907802404044e-01, 7.93309625119972828e-01, 7.89707173094544412e-01, 7.87396579895587756e-01, 7.87164603167659238e-01
 1.17000000000000000e+03, 7.90951919417643201e-01, 7.95962649320897553e-01, 7.92427869157019349e-01, 7.89326809658285611e-01, 7.99921282004408374e-01, 8.01382938985840787e-01, 7.92603141748986384e-01, 7.93130028659527309e-01, 8.00090448667728271e-01, 8.01424416954927166e-01
 1.18000000000000000e+03, 7.94102167161183981e-01, 8.14873853126438341e-01, 8.00265734239192672e-01, 8.13548353594633622e-01, 7.94982034676975924e-01, 8.01551702064319471e-01, 7.96522578275774107e-01, 8.12955640464807616e-01, 7.99531866975564887e-01, 8.02888613269546303e-01
 1.19000000000000000e+03, 8.10580947382188555e-01, 8.02437726243350080e-01, 8.02220989904581017e-01, 8.06145811392846690e-01, 8.06204558296684692e-01, 8.07602081406881833e-01, 8.05548051890492500e-01, 7.99486550466879664e-01, 7.99220160361436505e-01, 8.02114506571518282e-01
 1.20000000000000000e+03, 8.15099654168835008e-01, 7.99317192922562980e-01, 8.12538586994708156e-01, 8.12289414394651743e-01, 8.10120940379625121e-01, 8.17714400022668153e-01, 8.21225325682896967e-01, 8.16367656485713411e-01, 8.09444390315058215e-01, 8.09943253213215031e-01
 1.21000000000000000e+03, 8.16412114535334577e-01, 8.06168850140220106e-01, 8.18465015021720088e-01, 8.11898430135862048e-01, 8.14359004377183227e-01, 8.23051529724364683e-01, 8.11014081553000588e-01, 8.04915148924938650e-01, 8.24482296908006562e-01, 8.05892229757579348e-01
 1.22000000000000000e+03, 8.13628166188422153e-01, 8.15298214919006115e-01, 8.11656982089330348e-01, 8.15155522418721468e-01, 8.14849438040681995e-01, 8.24407532556108213e-01, 8.28538272920595564e-01, 8.16033028998379262e-01, 8.23509326645801343e-01, 8.25718405611494344e-01
 1.23000000000000000e+03, 8.21338959782172751e-01, 8.33764985098044198e-01, 8.10224418690490888e-01, 8.18074170524399236e-01, 8.14223504942787280e-01, 8.21697520594436570e-01, 8.16139287993609908e-01, 8.15614078404392484e-01, 8.24069138076918173e-01, 8.16775673317941431e-01
 1.24000000000000000e+03, 8.20040749242878175e-01, 8.22077987181084380e-01, 8.21208105325635263e-01, 8.07286319375185690e-01, 8.33161565835611073e-01, 8.25451759396264251e-01, 8.14433360295212405e-01, 8.11135464551776986e-01, 8.13599193564952250e-01, 8.16816931290105797e-01
 1.25000000000000000e+03, 8.16768924229399285e-01, 8.15623745958104052e-01, 8.21865014794761040e-01, 8.24650594964673855e-01, 8.21521065576619414e-01, 8.18754558084012207e-01, 8.16162753044430200e-01, 8.17157357456543609e-01, 8.17658748459402673e-01, 8.11754511701091364e-01
 1.26000000000000000e+03, 8.25519168107401669e-01, 8.14358261346646684e-01, 8.24041387513842816e-01, 8.25243691729028339e-01, 8.20119970651209340e-01, 8.23542816443540993e-01, 8.13595736359723487e-01, 8.25096346956323612e-01, 8.29885820385183437e-01, 8.21295082311504165e-01
 1.27000000000000000e+03, 8.25940114173125517e-01, 8.20734398403957344e-01, 8.29041656588173081e-01, 8.31455013193666437e-01, 8.24228352148594356e-01, 8.24843894812317124e-01, 8.23941565534799913e-01, 8.18800971975575220e-01, 8.31768603292136866e-01, 8.42074482576499972e-01
 1.28000000000000000e+03, 8.31495471935465469e-01, 8.19521706685844009e-01, 8.21222081278962013e-01, 8.24393787705394288e-01, 8.36822683038053183e-01, 8.22994012600965053e-01, 8.23753714938744386e-01, 8.18680571257928702e-01, 8.13198335186969268e-01, 8.18981383616910197e-01
 1.29000000000000000e+03, 8.23679533180047385e-01, 8.29757600150215824e-01, 8.16353463044143246e-01, 8.18547680581692583e-01, 8.31666089290844734e-01, 8.27848890156363648e-01, 8.20847010459730964e-01, 8.14965078802895371e-01, 8.10227389579800450e-01, 8.19960132288146459e-01
 1.30000000000000000e+03, 8.21577373937965594e-01, 8.21744479541327455e-01, 8.28987304401707092e-01, 8.22344323819010792e-01, 8.25289751629753709e-01, 8.28154263432086313e-01, 8.26857900118698974e-01, 8.27089242041863182e-01, 8.26632399590379374e-01, 8.16303862057483176e-01
