"time","ikr.IKr"
 1.10000000000000000e+03, 6.89095994688236568e-01
 1.11000000000000000e+03, 7.09614545739935210e-01
 1.12000000000000000e+03, 7.37368798327392105e-01
 1.13000000000000000e+03, 7.65018880389319755e-01
 1.14000000000000000e+03, 7.78093351247766685e-01
 1.15000000000000000e+03, 7.71779255173172030e-01
 1.16000000000000000e+03, 7.94471609380595467e-01
 1.17000000000000000e+03, 7.95166757623070763e-01
 1.18000000000000000e+03, 8.01836743450087597e-01
 1.19000000000000000e+03, 8.10288174842514919e-01
 1.20000000000000000e+03, 8.12556070543179021e-01
 1.21000000000000000e+03, 8.24406103470719964e-01
 1.22000000000000000e+03, 8.22375882515465118e-01
 1.23000000000000000e+03, 8.20177734357325883e-01
 1.24000000000000000e+03, 8.23909324501432061e-01
 1.25000000000000000e+03, 8.24456112212719194e-01
 1.26000000000000000e+03, 8.33125722953218073e-01
 1.27000000000000000e+03, 8.22712740966251466e-01
 1.28000000000000000e+03, 8.26769138683749349e-01
 1.29000000000000000e+03, 8.19570320496547877e-01
 1.30000000000000000e+03, 8.08757626891057679e-01
 1.31000000000000000e+03, 8.30238394000978985e-01
 1.32000000000000000e+03, 8.31881223689870608e-01
 1.33000000000000000e+03, 8.21476957274815511e-01
 1.34000000000000000e+03, 8.41513577771799137e-01
 1.35000000000000000e+03, 8.17059570241808530e-01
 1.36000000000000000e+03, 8.27059641549553470e-01
 1.37000000000000000e+03, 8.25600916725199307e-01
 1.38000000000000000e+03, 8.37015056681663649e-01
 1.39000000000000000e+03, 8.36645924147724318e-01
 1.40000000000000000e+03, 8.28009992076995993e-01
 1.41000000000000000e+03, 8.29514267105299408e-01
 1.42000000000000000e+03, 8.21183626178603299e-01
 1.43000000000000000e+03, 8.13989269802284254e-01
 1.44000000000000000e+03, 8.24781764388576200e-01
 1.45000000000000000e+03, 8.28122133787980941e-01
 1.46000000000000000e+03, 8.35219829404581726e-01
 1.47000000000000000e+03, 8.35043294359165467e-01
 1.48000000000000000e+03, 8.24557308837134295e-01
 1.49000000000000000e+03, 8.25123297890587137e-01
 1.50000000000000000e+03, 8.20201887653751793e-01
 1.51000000000000000e+03, 8.17753270471160754e-01
 1.52000000000000000e+03, 8.15866430125351205e-01
 1.53000000000000000e+03, 8.40004852306344141e-01
 1.54000000000000000e+03, 8.23767541690154759e-01
 1.55000000000000000e+03, 8.24241131647962533e-01
 1.56000000000000000e+03, 8.18864906712786556e-01
 1.57000000000000000e+03, 8.32265499215254390e-01
 1.58000000000000000e+03, 8.16482866027088972e-01
 1.59000000000000000e+03, 8.25730959878606563e-01
 1.60000000000000000e+03, 8.21225295282873802e-01
 1.61000000000000000e+03, 8.29689189517179515e-01
 1.62000000000000000e+03, 8.23764574660672433e-01
 1.63000000000000000e+03, 8.19343910835034439e-01
 1.64000000000000000e+03, 8.26950254525360862e-01
 1.65000000000000000e+03, 8.29963408515992929e-01
 1.66000000000000000e+03, 8.27575571999310089e-01
 1.67000000000000000e+03, 8.29132990943810100e-01
 1.68000000000000000e+03, 8.22950241454020293e-01
 1.69000000000000000e+03, 8.24742749565191224e-01
 1.70000000000000000e+03, 8.22698656431110065e-01
 1.71000000000000000e+03, 8.24763881942961685e-01
 1.72000000000000000e+03, 8.21770188650946531e-01
 1.73000000000000000e+03, 8.15743504771303196e-01
 1.74000000000000000e+03, 8.28307997711672295e-01
 1.75000000000000000e+03, 8.24485239424447958e-01
 1.76000000000000000e+03, 8.16377695427348948e-01
 1.77000000000000000e+03, 8.30191381543018969e-01
 1.78000000000000000e+03, 8.21148863815940211e-01
 1.79000000000000000e+03, 8.27479885657781300e-01
 1.80000000000000000e+03, 8.31949055977876717e-01
 1.81000000000000000e+03, 8.27988357220923565e-01
 1.82000000000000000e+03, 8.34657121495144039e-01
 1.83000000000000000e+03, 8.18987230334007221e-01
 1.84000000000000000e+03, 8.29792537164705246e-01
 1.85000000000000000e+03, 8.22617335820878370e-01
 1.86000000000000000e+03, 8.21389818976735575e-01
 1.87000000000000000e+03, 8.23316669620909214e-01
 1.88000000000000000e+03, 8.25080830135647703e-01
 1.89000000000000000e+03, 8.27507763611562641e-01
 1.90000000000000000e+03, 8.19447078150845498e-01
 1.91000000000000000e+03, 8.33082517272399570e-01
 1.92000000000000000e+03, 8.30210432762256145e-01
