,Kmax,error_Kmax,Ku,error_Ku,Vhalf,error_Vhalf,Kt,error_Kt
0,1.0,16977541.9834419,1.8000000000000016e-06,15506634.835094912,-240.0,38670.563615602245,1e-05,557948.7673231408
1,2.346228848142263,17313045.94643142,2.9379215179412907e-06,14352051.118702376,-230.04166666666666,43121.47448164864,3.0302710828663992e-05,91406.50106199061
2,5.50478980785497,17952961.76677093,4.79521269199025e-06,12347522.983779611,-220.08333333333334,77946.46546551652,9.182542835656282e-05,978235.4748602293
3,12.91549665014884,18943980.893231746,7.826643639390738e-06,9284335.383187996,-210.125,46470.441331149166,0.0002782559402207126,2972121.4280281328
4,30.30271082866396,21365551.980010282,1.2774480423013536e-05,4591596.324962481,-200.16666666666666,39658.58469413759,0.0008431909292866251,4636348.158316323
5,71.09709432312431,25638744.790616877,2.08502338418284e-05,2626220.4607541603,-190.20833333333331,44204.79929779702,0.002555097090352507,8551578.035052804
6,166.81005372000593,30073861.663852833,3.403130592111961e-05,14255368.67739424,-180.25,47288.666061722564,0.007742636826811269,15861656.264813304
7,391.3745601980384,32032411.81948459,5.554516997183338e-05,32865279.93047223,-170.29166666666666,39665.235192116954,0.023462288481422625,16911649.45102379
8,918.2542835656282,31466133.200126335,9.065963893219754e-05,62134018.00401083,-160.33333333333331,55539.393392574646,0.07109709432312432,16935801.04164633
9,2154.4346900318824,29299675.527747095,0.0001479727244598283,106646590.87517336,-150.375,49370.323921617324,0.21544346900318823,16924508.430464365
10,5054.796821191236,27526748.521357078,0.0002415179173660704,171059864.7357255,-140.41666666666666,69335.89269064568,0.6528521141127848,16905059.609100446
11,11859.710123376683,26851672.270308495,0.00039420038133230193,259462559.00002998,-130.45833333333331,43133.00025698558,1.9783188827841622,16878345.780156516
12,27825.59402207126,28183746.185744345,0.0006434054348315729,375445518.34178543,-120.5,48634.43090672303,5.994842503189409,16925428.803264406
13,65285.21141127848,30768941.788061235,0.001050152595417805,520246726.97574973,-110.54166666666666,8568.814407041706,18.16599788375325,16940392.31484195
14,153174.04637020797,31324282.20907794,0.0017140366151110321,681603307.1138076,-100.58333333333331,39589.77714963841,55.04789807854968,16907424.56771319
15,359381.36638046254,29912202.992325,0.002797613918929973,819253711.9367535,-90.625,19868.020546453383,166.81005372000558,16919934.54361435
16,843190.9292866251,27423761.376510076,0.0045662056285091235,881763740.7687162,-80.66666666666666,11388.218479555182,505.47968211912354,16912002.52000402
17,1978318.8827841622,23526070.53642535,0.007452863206300876,862096814.7182717,-70.70833333333331,462.1446361321766,1531.7404637020798,16925465.059784256
18,4641588.833612773,17977098.82783887,0.012164403991146804,823140816.2385267,-60.75,11428.61306371049,4641.588833612773,16911213.304222662
19,10890229.622637283,11147683.39488043,0.019854480132511714,816697442.2985337,-50.79166666666666,3104.790818834896,14065.272421052336,16918684.729701273
20,25550970.903525017,4465205.895104635,0.032406058004913314,788284543.4594574,-40.833333333333314,4223.640600983892,42621.588290153246,16863597.295363672
21,59948425.03189409,710352.8810351079,0.052892475069048976,677842206.6441431,-30.875,79.907710047414,129154.96650148826,16912820.63678084
22,140652724.21052334,686716.1318765989,0.08632996702362894,536052153.9009741,-20.916666666666657,4500.635608049853,391374.5601980376,16974014.640198283
23,330003479.1125275,3105497.846437718,0.1409059265343785,448486712.79718834,-10.958333333333314,21077.37428273917,1185971.0123376658,16887354.12130557
24,774263682.6811278,6964074.187831279,0.2299836408726694,417957316.4216177,-1.0,12463.605996685643,3593813.6638046256,16900817.746242415
25,1816599788.3753285,12437530.58145557,0.37537438183016497,409911942.5331619,-0.75,39142.13510713993,10890229.622637283,16911964.22363357
26,4262158829.015325,19218388.603224106,0.6126780409237506,407669591.3258209,-0.5,12672.014446142895,33000347.911252752,16913673.62738424
27,10000000000.0,25903137.111502368,1.0,406912123.2349837,-0.25,12697.685083753342,100000000.0,16941182.86900214
