,Kmax,error_Kmax,Ku,error_Ku,Vhalf,error_Vhalf
0,100000000,0.00825338655289498,0.0000179,0.00825347744940186,-1.147,0.00825333062787522
1,140652724.210523,0.00847962507690827,2.08502338418284E-05,0.00838039658221799,-1,0.00825360610350126
2,330003479.112527,0.0139988632557445,3.40313059211196E-05,0.0114627749091718,-0.75,0.0082545501506452
3,774263682.681128,0.018820006567757,5.55451699718334E-05,0.0155669586497673,-0.5,0.0082561441128891
4,1816599788.37533,0.0205823541421885,9.06596389321975E-05,0.0193293026750185,-0.25,0.00825845195974746
5,4262158829.01533,0.0212869156418061,0.000147972724459828,0.0224308894255459,-10.9583333333333,0.00837012800600139
6,10000000000,0.0215793688734937,0.00024151791736607,0.0247715493779576,-20.9166666666667,0.00843357512371394
7,59948425.0318941,0.020963598443027,0.000394200381332302,0.0264011858173806,-30.875,0.00845028870423772
8,25550970.903525,0.0527233946465483,0.000643405434831573,0.0274834485559581,-40.8333333333333,0.00845572710693267
9,10890229.6226373,0.0749861059562899,0.00105015259541781,0.0281819478871191,-50.7916666666667,0.00846332692519595
10,4641588.83361277,0.0935972047672134,0.00171403661511103,0.0286235037112942,-60.75,0.00849001839568956
11,1978318.88278416,0.117988131997447,0.00279761391892997,0.0289014887076567,-70.7083333333333,0.00856912371998203
12,843190.929286625,0.156022583501901,0.00456620562850912,0.0290777743114242,-80.6666666666667,0.00868258704664962
13,359381.366380463,0.207279741869543,0.00745286320630088,0.0291902443128599,-90.625,0.0087447218573059
14,153174.046370208,0.258527146335875,0.0121644039911468,0.0292618294388239,-100.583333333333,0.00876338122410967
15,65285.2114112785,0.296492193534111,0.0198544801325117,0.0293067327810312,-110.541666666667,0.00876800459950587
16,27825.5940220713,0.321071908217453,0.0324060580049133,0.0293340309890495,-120.5,0.00876908828084944
17,11859.7101233767,0.340597903583969,0.052892475069049,0.0293501934945538,-130.458333333333,0.00876934350188038
18,5054.79682119124,0.36502436446305,0.0863299670236289,0.0293596197051784,-140.416666666667,0.00876939967975694
19,2154.43469003188,0.402666766482314,0.140905926534379,0.0293652384079311,-150.375,0.0087694140015027
20,918.254283565628,0.453655966989758,0.229983640872669,0.0293685852402444,-160.333333333333,0.00876941548111661
21,391.374560198038,0.505136312297737,0.375374381830165,0.0293705791478305,-170.291666666667,0.00876941645130501
22,166.810053720006,0.543568765004978,0.612678040923751,0.0293718191126535,-180.25,0.00876941475743952
23,71.0970943231243,0.568444804259482,1,0.0293725722791698,-190.208333333333,0.0087694139813904
24,30.302710828664,0.58796691970389,1.27744804230135E-05,0.00837215835348987,-200.166666666667,0.00876941517183293
25,12.9154966501488,0.612083628831165,7.82664363939074E-06,0.00871735596664983,-210.125,0.00876941787400448
26,5.50478980785497,0.649228309876073,4.79521269199025E-06,0.0109521376122039,-220.083333333333,0.00876941447000701
27,2.34622884814226,0.699893748198454,2.93792151794129E-06,0.0144561150958115,-230.041666666667,0.0087694171073318
28,1,0.751399488581106,0.0000018,0.0170598467518293,-240,0.00876941759237875
