,Kmax,error_Kmax,Ku,error_Ku,Vhalf,error_Vhalf
0,46460,0.0190410004357371,0.0007927,0.0190385204443995,-100,0.0190383592775989
1,65285.2114112785,0.0214676556006449,0.00105015259541781,0.0190549616398402,-90.625,0.0190389546032479
2,153174.046370208,0.0374719305740605,0.00171403661511103,0.0191539253860957,-80.6666666666667,0.0190613278755597
3,359381.366380463,0.0407580178402107,0.00279761391892997,0.0192848895502087,-70.7083333333333,0.0191750298858589
4,843190.929286625,0.0419120539154514,0.00456620562850912,0.0194087842946257,-60.75,0.0193080335685122
5,1978318.88278416,0.0423755808532969,0.00745286320630088,0.0195046549781477,-50.7916666666667,0.0193639215936013
6,4641588.83361277,0.0425687231069923,0.0121644039911468,0.0195677774275129,-40.8333333333333,0.0193801898841531
7,10890229.6226373,0.0426503100730254,0.0198544801325117,0.0196042540687816,-30.875,0.0193888986569308
8,25550970.903525,0.0426849284664587,0.0324060580049133,0.0196229734102242,-20.9166666666667,0.0194121189612561
9,59948425.0318941,0.0451365790684267,0.052892475069049,0.0196316348922341,-10.9583333333333,0.0195144456981947
10,140652724.210523,0.0714285334786331,0.0863299670236289,0.0196354475216734,-1,0.0199988943830043
11,330003479.112527,0.123401340087002,0.140905926534379,0.0196371793072771,-0.75,0.0200226744668733
12,774263682.681128,0.183046921092201,0.229983640872669,0.0196380290672903,-0.5,0.0200472729500565
13,1816599788.37533,0.221175620882642,0.375374381830165,0.0196384805722229,-0.25,0.0200727107033524
14,4262158829.01533,0.239135980311658,0.612678040923751,0.0196387344468967,-100.583333333333,0.0190383849525418
15,10000000000,0.252281831724317,1,0.0196388741441616,-110.541666666667,0.0190387085510206
16,27825.5940220713,0.0242373735330477,0.000643405434831573,0.019058500153689,-120.5,0.0190388120235476
17,11859.7101233767,0.0425158641423239,0.000394200381332302,0.0192913530675537,-130.458333333333,0.0190388372000491
18,5054.79682119124,0.0712713253711492,0.00024151791736607,0.0198711019263335,-140.416666666667,0.0190388433440713
19,2154.43469003188,0.115079923493167,0.000147972724459828,0.0207596131518327,-150.375,0.0190388447999755
20,918.254283565628,0.16816652370738,9.06596389321975E-05,0.0220116566029231,-160.333333333333,0.0190388454513262
21,391.374560198038,0.21486749406756,5.55451699718334E-05,0.0237098912635754,-170.291666666667,0.0190388449488775
22,166.810053720006,0.246440511513171,3.40313059211196E-05,0.0259045337952697,-180.25,0.0190388452687123
23,71.0970943231243,0.267407126872481,2.08502338418284E-05,0.0285889606105001,-190.208333333333,0.0190388453521238
24,30.302710828664,0.287404355389781,1.27744804230135E-05,0.031571619290664,-200.166666666667,0.0190388452494621
25,12.9154966501488,0.316075344459515,7.82664363939074E-06,0.0344757676645212,-210.125,0.0190388449456203
26,5.50478980785497,0.359504753584382,4.79521269199025E-06,0.0369553264673372,-220.083333333333,0.0190388450408586
27,2.34622884814226,0.412497904039957,2.93792151794129E-06,0.0388585562944608,-230.041666666667,0.019038844918482
28,1,0.45932331495429,0.0000018,0.0402107116837114,-240,0.0190388455672594
