,Kmax,error_Kmax,Ku,error_Ku,Vhalf,error_Vhalf,Kt,error_Kt
0,1.0,8.274029100452102,1.8000000000000016e-06,6.682336977261134,-240.0,0.47797930104484027,1e-05,0.5555268702891409
1,2.346228848142263,5.559280751736229,2.9379215179412907e-06,5.445995739734623,-230.04166666666666,0.4779793186926222,3.0302710828663992e-05,0.4799890224773572
2,5.50478980785497,2.351286298880675,4.79521269199025e-06,4.381095112475271,-220.08333333333334,0.4779793196900102,9.182542835656282e-05,0.5715794664243351
3,12.91549665014884,1.083325385536582,7.826643639390738e-06,3.525010628439155,-210.125,0.47797934269931885,0.0002782559402207126,0.7581252535506224
4,30.30271082866396,2.8999135084160934,1.2774480423013536e-05,2.8450761824492425,-200.16666666666666,0.477979309415736,0.0008431909292866251,0.8754218759986854
5,71.09709432312431,4.175804711393976,2.08502338418284e-05,2.2988246047422436,-190.20833333333331,0.47797932505964225,0.002555097090352507,0.9424284821818163
6,166.81005372000593,5.4453879424543015,3.403130592111961e-05,1.8548770808246027,-180.25,0.4779793298830856,0.007742636826811269,0.971372962036112
7,391.3745601980384,7.296197919723666,5.554516997183338e-05,1.4972023255996687,-170.29166666666666,0.4779793393974079,0.023462288481422625,0.9803722413941987
8,918.2542835656282,10.052636658475793,9.065963893219754e-05,1.2081462864497596,-160.33333333333331,0.47797933541139154,0.07109709432312432,0.9828977359529243
9,2154.4346900318824,13.275768312077748,0.0001479727244598283,0.9518317244166525,-150.375,0.47797950765022024,0.21544346900318823,0.9836581512383864
10,5054.796821191236,16.006828269019547,0.0002415179173660704,0.6928628459352484,-140.41666666666666,0.47798007602535153,0.6528521141127848,0.9839587656640152
11,11859.710123376683,17.83150582958122,0.00039420038133230193,0.4815078321742723,-130.45833333333331,0.4779827152160826,1.9783188827841622,0.9839711801231601
12,27825.59402207126,19.07146579746532,0.0006434054348315729,0.6258096570442606,-120.5,0.4779969766831731,5.994842503189409,0.9839994298936054
13,65285.21141127848,20.306763974387806,0.001050152595417805,0.8396819852196662,-110.54166666666666,0.47811093623593687,18.16599788375325,0.9840115070500564
14,153174.04637020797,22.124506262369252,0.0017140366151110321,1.01074814791906,-100.58333333333331,0.47952879328967357,55.04789807854968,0.9840099541267523
15,359381.36638046254,24.852753295220243,0.002797613918929973,1.134109775857938,-90.625,0.4984582441077254,166.81005372000558,0.984015992297263
16,843190.9292866251,28.07518392757488,0.0045662056285091235,1.216288163192137,-80.66666666666666,0.6256525737990868,505.47968211912354,0.984015958424471
17,1978318.8827841622,30.832106820104734,0.007452863206300876,1.2674154934301156,-70.70833333333331,0.8824352352600847,1531.7404637020798,0.9840159563601041
18,4641588.833612773,32.68230413867228,0.012164403991146804,1.297508285573576,-60.75,1.057098360051038,4641.588833612773,0.9840157024575896
19,10890229.622637283,33.931817729316265,0.019854480132511714,1.3140939073580697,-50.79166666666666,1.1164302848041083,14065.272421052336,0.9840155405147104
20,25550970.903525017,35.15768694610916,0.032406058004913314,1.3225563053007008,-40.833333333333314,1.133030620094638,42621.588290153246,0.98400917508365
21,59948425.03189409,36.94903665748099,0.052892475069048976,1.3267051808630521,-30.875,1.1431928974793548,129154.96650148826,0.9840364570383761
22,140652724.21052334,39.6482842511384,0.08632996702362894,1.3288076075650483,-20.916666666666657,1.1722354645500195,391374.5601980376,0.9840081528090378
23,330003479.1125275,42.860361440465994,0.1409059265343785,1.3299466277989032,-10.958333333333314,1.2875786956068405,1185971.0123376658,0.9840327906549091
24,774263682.6811278,45.60136215518811,0.2299836408726694,1.3305990724737642,-1.0,1.6757551499514936,3593813.6638046256,0.9841057448810162
25,1816599788.3753285,47.33636903570208,0.37537438183016497,1.3309825095140426,-0.75,1.6910097600794807,10890229.622637283,0.9839920323548954
26,4262158829.015325,48.23304342619417,0.6126780409237506,1.331212408904267,-0.5,1.706543398792101,33000347.911252752,0.9840160665535223
27,10000000000.0,48.64240363484489,1.0,1.3313517370927763,-0.25,1.722352216440741,100000000.0,0.9839355076067451
