"engine.time","ikr.IKr","membrane.V"
 0.00000000000000000e+00, 3.47077680260888480e-03,-8.00000000000000000e+01
 1.00000000000000006e-01, 3.46426625809039337e-03,-8.00000000000000000e+01
 2.00000000000000011e-01, 3.45776632993866854e-03,-8.00000000000000000e+01
 3.00000000000000044e-01, 3.45127666027548628e-03,-8.00000000000000000e+01
 4.00000000000000022e-01, 3.44480600202952576e-03,-8.00000000000000000e+01
 5.00000000000000000e-01, 3.43834414285634120e-03,-8.00000000000000000e+01
 6.00000000000000089e-01, 3.43189108275593173e-03,-8.00000000000000000e+01
 7.00000000000000067e-01, 3.42545045447629950e-03,-8.00000000000000000e+01
 8.00000000000000044e-01, 3.41902322447533175e-03,-8.00000000000000000e+01
 9.00000000000000022e-01, 3.41260767103875777e-03,-8.00000000000000000e+01
 1.00000000000000000e+00, 3.40620399384542263e-03,-8.00000000000000000e+01
 1.10000000000000009e+00, 3.39981392395484472e-03,-8.00000000000000000e+01
 1.20000000000000018e+00, 3.39343642998263511e-03,-8.00000000000000000e+01
 1.30000000000000004e+00, 3.38707151192879337e-03,-8.00000000000000000e+01
 1.40000000000000013e+00, 3.38071959519017657e-03,-8.00000000000000000e+01
 1.50000000000000000e+00, 3.37438068389416456e-03,-8.00000000000000000e+01
 1.60000000000000009e+00, 3.36805457000867838e-03,-8.00000000000000000e+01
 1.70000000000000018e+00, 3.36174125353371888e-03,-8.00000000000000000e+01
 1.80000000000000004e+00, 3.35544073446928520e-03,-8.00000000000000000e+01
 1.90000000000000013e+00, 3.34915296007448886e-03,-8.00000000000000000e+01
 2.00000000000000000e+00, 3.34287769567257875e-03,-8.00000000000000000e+01
 2.10000000000000009e+00, 3.33661516868079093e-03,-8.00000000000000000e+01
 2.20000000000000018e+00, 3.33036537909912542e-03,-8.00000000000000000e+01
 2.30000000000000027e+00, 3.32412832692758307e-03,-8.00000000000000000e+01
 2.40000000000000036e+00, 3.31790401216616260e-03,-8.00000000000000000e+01
 2.50000000000000000e+00, 3.31169243481486443e-03,-8.00000000000000000e+01
 2.60000000000000009e+00, 3.30549359487368900e-03,-8.00000000000000000e+01
 2.70000000000000018e+00, 3.29930749234263587e-03,-8.00000000000000000e+01
 2.80000000000000027e+00, 3.29313412722170460e-03,-8.00000000000000000e+01
 2.90000000000000036e+00, 3.28697304843016428e-03,-8.00000000000000000e+01
 3.00000000000000000e+00, 3.28082250055603550e-03,-8.00000000000000000e+01
 3.10000000000000009e+00, 3.27468442684050384e-03,-8.00000000000000000e+01
 3.20000000000000018e+00, 3.26855882728356801e-03,-8.00000000000000000e+01
 3.30000000000000027e+00, 3.26244570188522712e-03,-8.00000000000000000e+01
 3.40000000000000036e+00, 3.25634505064548337e-03,-8.00000000000000000e+01
 3.50000000000000000e+00, 3.25025687356433500e-03,-8.00000000000000000e+01
 3.60000000000000009e+00, 3.24418117064178245e-03,-8.00000000000000000e+01
 3.70000000000000018e+00, 3.23811794187782659e-03,-8.00000000000000000e+01
 3.80000000000000027e+00, 3.23206718727246569e-03,-8.00000000000000000e+01
 3.90000000000000036e+00, 3.22602890682570234e-03,-8.00000000000000000e+01
 4.00000000000000000e+00, 3.22000310053753395e-03,-8.00000000000000000e+01
 4.10000000000000053e+00, 3.21398976840796139e-03,-8.00000000000000000e+01
 4.20000000000000018e+00, 3.20798891043698508e-03,-8.00000000000000000e+01
 4.29999999999999982e+00, 3.20200052662460459e-03,-8.00000000000000000e+01
 4.40000000000000036e+00, 3.19602461697082079e-03,-8.00000000000000000e+01
 4.50000000000000000e+00, 3.19006118147563194e-03,-8.00000000000000000e+01
 4.60000000000000053e+00, 3.18411022013903935e-03,-8.00000000000000000e+01
 4.70000000000000018e+00, 3.17817173296104346e-03,-8.00000000000000000e+01
 4.80000000000000071e+00, 3.17224438415762916e-03,-8.00000000000000000e+01
 4.90000000000000036e+00, 3.16632676521467907e-03,-8.00000000000000000e+01
 5.00000000000000000e+00, 3.16042122296903653e-03,-8.00000000000000000e+01
 5.10000000000000053e+00, 3.15452775742070327e-03,-8.00000000000000000e+01
 5.20000000000000018e+00, 3.14864636856967712e-03,-8.00000000000000000e+01
