,fit_Kmax,fit_Ku,fit_Vhalf,error,ref_Kmax,ref_Ku,ref_Vhalf
0,0.9990478822158774,1.809908250891755e-05,-144.89536927950235,0.015935437270794925,1.0,1.8000000000000017e-05,-200.0
0,0.9410065216654978,1.9747832708406097e-05,-86.38756644823621,0.0159948221744748,1.0,1.8000000000000017e-05,-150.25
0,1.0056006607388621,1.786066763030126e-05,-105.02711631217771,0.015999069602539974,1.0,1.8000000000000017e-05,-100.5
0,0.9706489417934913,1.8775803490418198e-05,-20.42321169202245,0.01591774381763032,1.0,1.8000000000000017e-05,-50.75
0,1.0233177553680388,1.7305776462706764e-05,-1.60420268725809,0.015955889971468136,1.0,1.8000000000000017e-05,-1.0
0,0.9992243902376676,0.0002759997410162387,-169.24511876018758,0.015986730141934902,1.0,0.0002763467610958146,-200.0
0,0.9983919502670617,0.00027909042849391707,-121.10998550033628,0.015947528983842878,1.0,0.0002763467610958146,-150.25
0,1.0002723708991723,0.00027370484091722604,-99.06902343282974,0.01593282951483741,1.0,0.0002763467610958146,-100.5
0,0.9976505345848858,0.00027834539256723116,-49.25605242026452,0.015930900127401542,1.0,0.0002763467610958146,-50.75
0,1.0006235063134328,0.00027699338904231796,-0.9793590765558066,0.016009473056789035,1.0,0.0002763467610958146,-1.0
0,0.9996326516507142,0.004253077212389447,-123.0485669197863,0.01593090421022697,1.0,0.0042426406871192875,-200.0
0,1.0003525930956787,0.004276497982001002,-127.42160146285038,0.016001726560191817,1.0,0.0042426406871192875,-150.25
0,1.0012027005858937,0.0042826026306872255,-104.96780882665567,0.016007409984072123,1.0,0.0042426406871192875,-100.5
0,0.9989878495318965,0.004208612510656449,-50.502185935547914,0.015986464553905518,1.0,0.0042426406871192875,-50.75
0,0.999197415906298,0.004212014895124794,-0.9546540978808913,0.016060714104540585,1.0,0.0042426406871192875,-1.0
0,0.9995625732362239,0.1565330716597738,-164.77648909852283,0.016058284263436324,1.0,0.06513555624326307,-200.0
0,1.000124448428353,0.05246802490342146,-180.29480667579233,0.015958361595583365,1.0,0.06513555624326307,-150.25
0,1.0008362598634863,0.06584368645852788,-103.71200332772052,0.015942021752041877,1.0,0.06513555624326307,-100.5
0,0.9997242717982557,0.0365345529585976,-50.506896943358456,0.01592237723810283,1.0,0.06513555624326307,-50.75
0,1.0002423206159812,0.04897537137630967,-1.0273902115400617,0.015979499651369734,1.0,0.06513555624326307,-1.0
0,0.9963707343295949,9.814318885447253,-102.97363107553556,0.015955678450865984,1.0,1.0,-200.0
0,0.9985394817575141,0.21293640127541788,-110.14567697506082,0.01599501614759232,1.0,1.0,-150.25
0,1.0008914085563771,9.699404224593778,-103.56609572315521,0.016069333630223497,1.0,1.0,-100.5
0,0.9988551251771464,0.36212556678448354,-48.88264349873988,0.0159382718664739,1.0,1.0,-50.75
0,1.0011943345311594,0.15992335976729918,-0.9971008150915768,0.01594914302661498,1.0,1.0,-1.0
0,99.90864217044548,1.8063551739708625e-05,-120.70602990919932,0.016001715894603433,100.0,1.8000000000000017e-05,-200.0
0,98.78352736977256,1.8266598262066122e-05,-100.61282149768273,0.016004452799426697,100.0,1.8000000000000017e-05,-150.25
0,98.55933558087207,1.8267954373485286e-05,-94.98223529455488,0.015953158866439568,100.0,1.8000000000000017e-05,-100.5
0,97.95515114178349,1.8428018596546748e-05,-28.56987838999892,0.015942074554804054,100.0,1.8000000000000017e-05,-50.75
