,Kt,likelihood_Kt
0,3.5e-05,4.872707078542478e-08
1,4.8329302385717524e-05,4.006584742073325e-08
2,0.00023357214690901214,3.6185019132520084e-08
3,0.0011288378916846896,4.178337907937229e-08
4,0.00545559478116852,4.256153155897774e-08
5,0.026366508987303583,4.13872898743984e-08
6,0.12742749857031346,4.6330101530157486e-08
7,0.6158482110660267,3.779254463726109e-08
8,2.9763514416313193,5.919979020843908e-05
9,14.38449888287663,5.919863396728137e-05
10,69.51927961775606,4.2582628499749464e-08
11,335.9818286283781,4.368777202131809e-08
12,1623.7767391887242,4.3935145114423655e-08
13,7847.599703514623,4.716516225731083e-08
14,37926.901907322535,4.378945338090263e-08
15,183298.07108324376,4.264972489155773e-08
16,885866.7904100833,4.4897131883158956e-08
17,4281332.3987193955,4.2689516315406395e-08
18,20691380.811147902,4.143358958795846e-08
19,100000000.0,4.0939038923526473e-08
20,1e-05,3.829498059194786e-08
