,Kt,likelihood_Kt
0,3.5e-05,6.221715545390419e-08
1,4.8329302385717524e-05,5.234386634724716e-08
2,0.00023357214690901214,5.320152790534933e-08
3,0.0011288378916846896,5.6383190877325966e-08
4,0.00545559478116852,4.670848590652959e-08
5,0.026366508987303583,5.0787986719816374e-08
6,0.12742749857031346,4.8705036012388535e-08
7,0.6158482110660267,5.373443245764599e-08
8,2.9763514416313193,5.2638085150543565e-08
9,14.38449888287663,5.7785635017831226e-08
10,69.51927961775606,5.628711890072381e-08
11,335.9818286283781,6.070854522688579e-08
12,1623.7767391887242,4.4249145853409416e-08
13,7847.599703514623,4.001791257881007e-08
14,37926.901907322535,4.6904680243714725e-08
15,183298.07108324376,4.729713059455931e-08
16,885866.7904100833,5.5212111466814274e-08
17,4281332.3987193955,5.6040117962758716e-08
18,20691380.811147902,5.254153952562369e-08
19,100000000.0,4.751414410985727e-08
20,1e-05,4.9063647566695666e-08
