,Kmax,likelihood_Kmax,Ku,likelihood_Ku,Vhalf,likelihood_Vhalf
0,9.997,0.007935979862117441,0.0004161,0.007936186943048835,-199.5,0.007935924036807415
1,18.329807108324356,0.027387730936945836,0.0005670319149291183,0.009053074675757914,-189.5263157894737,0.00793592388562825
2,48.32930238571752,0.054701142219728924,0.0010076970872241893,0.012807519682252364,-179.05263157894737,0.007935924127162316
3,127.42749857031335,0.06453272853529496,0.0017908223379755476,0.016037635874493323,-168.57894736842104,0.007935924331668336
4,335.9818286283781,0.06730637201436324,0.003182548294375205,0.018341957053791033,-158.10526315789474,0.007935924348490605
5,885.8667904100823,0.06820020693467901,0.005655845044618171,0.019798043463427645,-147.63157894736844,0.007935925964052836
6,2335.7214690901214,0.06851782269466147,0.01005124831106825,0.020629414009811883,-137.1578947368421,0.00793593349474235
7,6158.48211066026,0.0686354202230209,0.017862510697121258,0.021063696741265518,-126.6842105263158,0.007935970286442027
8,16237.76739188721,0.06997143644310086,0.03174424494651258,0.02126777254700884,-116.21052631578948,0.007936175745299376
9,42813.32398719396,0.07604000365548348,0.05641407886667304,0.021357250460915404,-105.73684210526316,0.00793787760689995
10,112883.78916846884,0.09119651875878454,0.10025591409522058,0.021398015987403186,-95.26315789473685,0.007960630535705579
11,297635.1441631313,0.12518268021851667,0.17816914701067796,0.02141829894823263,-84.78947368421053,0.008268097441425268
12,784759.9703514606,0.18670579143653931,0.3166321431807273,0.021429012049963087,-74.31578947368422,0.009880777646238584
13,2069138.0811147902,0.2568826984309176,0.5627007581128066,0.021434847196841553,-63.84210526315792,0.011852165006951784
14,5455594.781168515,0.2976320486191916,1.0,0.021438071281323974,-53.36842105263159,0.012672452158526963
15,14384498.882876601,0.3166095591133422,0.00031906928840477137,0.008816335620884401,-42.89473684210526,0.012890347855676814
16,37926901.90732246,0.3341520775949833,0.0001795405304758786,0.012346164566046178,-32.42105263157896,0.01297573006525992
17,100000000.0,0.3650458886721544,0.00010102759261075233,0.016119242632985822,-21.94736842105266,0.01316602638881009
18,6.951927961775605,0.022778583099187497,5.6848302952382116e-05,0.02089664144487724,-11.47368421052633,0.013993415347246655
19,2.636650898730358,0.07948171669143637,3.198858316873192e-05,0.027056822833901276,-1.0,0.01737407196277548
20,1.0,0.13290109682388768,1.8000000000000017e-05,0.0342977149355561,-200.0,0.007935923955329263
