,Kt,likelihood_Kt
0,3.5e-05,4.0353687505655186e-08
1,4.8329302385717524e-05,4.636837040126562e-08
2,0.00023357214690901214,4.35996773785521e-08
3,0.0011288378916846896,4.347392567418043e-08
4,0.00545559478116852,4.302407834575825e-08
5,0.026366508987303583,4.239572815765321e-08
6,0.12742749857031346,1.7617344961972704e-07
7,0.6158482110660267,1.2231591498205757e-07
8,2.9763514416313193,1.028635710768545e-07
9,14.38449888287663,9.024010311148482e-08
10,69.51927961775606,6.656802251369301e-08
11,335.9818286283781,4.6248353730409906e-08
12,1623.7767391887242,4.420636690226272e-08
13,7847.599703514623,5.6550380584733924e-08
14,37926.901907322535,5.193281997176664e-08
15,183298.07108324376,5.835886258936719e-08
16,885866.7904100833,5.451128431537641e-08
17,4281332.3987193955,1.1496850154817806e-07
18,20691380.811147902,1.202065878911535e-07
19,100000000.0,4.251420540332089e-08
20,1e-05,4.303328854207121e-08
