,Kmax,likelihood_Kmax,Ku,likelihood_Ku,Vhalf,likelihood_Vhalf
0,9.997,4.174288428176139e-08,0.0004161,4.3099896501366394e-08,-199.5,4.453244629432498e-08
1,18.329807108324356,0.02211108274337182,0.0005670319149291183,0.002454383167401774,-189.5263157894737,4.601509241740495e-08
2,48.32930238571752,0.050237730274301014,0.0010076970872241893,0.006704288828261428,-179.05263157894737,4.257176037444563e-08
3,127.42749857031335,0.059529604260611574,0.0017908223379755476,0.010087383812103305,-168.57894736842104,4.365378866411551e-08
4,335.9818286283781,0.06209152456746918,0.003182548294375205,0.012468093269118746,-158.10526315789474,6.313808255373356e-08
5,885.8667904100823,0.06293838744539862,0.005655845044618171,0.013967043224656245,-147.63157894736844,1.6715338840978522e-07
6,2335.7214690901214,0.06324375062488147,0.01005124831106825,0.014822827317408136,-137.1578947368421,6.637955894335198e-07
7,6158.48211066026,0.06335746255479752,0.017862510697121258,0.015270422104500901,-126.6842105263158,3.018952152676813e-06
8,16237.76739188721,0.06521782865594548,0.03174424494651258,0.015481047146790283,-116.21052631578948,1.4047518867254337e-05
9,42813.32398719396,0.07180068687109149,0.05641407886667304,0.01557346520914905,-105.73684210526316,6.520593180070025e-05
10,112883.78916846884,0.08715664370882636,0.10025591409522058,0.015615469847030976,-95.26315789473685,0.00029534671769190465
11,297635.1441631313,0.12129662991156481,0.17816914701067796,0.015636355424254962,-84.78947368421053,0.0012048150272866403
12,784759.9703514606,0.18307410597663404,0.3166321431807273,0.015647370285070926,-74.31578947368422,0.003467908853128616
13,2069138.0811147902,0.2537134381064199,0.5627007581128066,0.015653355277968302,-63.84210526315792,0.005692338586830664
14,5455594.781168515,0.2950161384504899,1.0,0.015656693770549356,-53.36842105263159,0.0065784094769933505
15,14384498.882876601,0.3143521665461696,0.00031906928840477137,0.0020641531118621133,-42.89473684210526,0.006811719051569652
16,37926901.90732246,0.3320755301430479,0.0001795405304758786,0.006141451933757901,-32.42105263157896,0.006902988486732664
17,100000000.0,0.36310927298889095,0.00010102759261075233,0.010129213833393987,-21.94736842105266,0.0071061390025814455
18,6.951927961775605,0.017135167094262316,5.6848302952382116e-05,0.015087946402551757,-11.47368421052633,0.00798422002212362
19,2.636650898730358,0.0744087076373004,3.198858316873192e-05,0.021400950575053288,-1.0,0.011516236574808922
20,1.0,0.10977528304403614,1.8000000000000017e-05,0.02876533041096733,-200.0,4.5131475329487755e-08
